# ARRIVAL, arrival_time, group_size, dining_duration
ARRIVAL,5,3,38
ARRIVAL,12,2,34
ARRIVAL,19,1,28
ARRIVAL,34,3,41
ARRIVAL,41,3,50
ARRIVAL,44,2,36
ARRIVAL,47,1,30
ARRIVAL,50,2,39
ARRIVAL,55,3,51
ARRIVAL,60,2,41
ARRIVAL,60,4,55
ARRIVAL,60,2,38
ARRIVAL,65,3,44
ARRIVAL,71,2,37
ARRIVAL,76,4,52
ARRIVAL,80,3,45
ARRIVAL,80,1,32
ARRIVAL,85,2,35
ARRIVAL,103,2,35
ARRIVAL,105,4,45
ARRIVAL,108,3,40
ARRIVAL,114,3,39
ARRIVAL,115,2,44
ARRIVAL,119,2,39
ARRIVAL,120,2,35
ARRIVAL,124,3,38
ARRIVAL,130,4,51
ARRIVAL,145,3,51
ARRIVAL,147,3,39
ARRIVAL,160,4,58
ARRIVAL,167,4,57
ARRIVAL,170,3,44
ARRIVAL,170,2,39
ARRIVAL,174,2,44
ARRIVAL,177,1,29
ARRIVAL,184,2,35
ARRIVAL,185,4,50
ARRIVAL,194,4,57
ARRIVAL,194,2,43
ARRIVAL,210,2,39
ARRIVAL,214,2,43
ARRIVAL,215,1,38
ARRIVAL,217,2,37
ARRIVAL,234,3,42
ARRIVAL,235,3,43
ARRIVAL,235,3,48
ARRIVAL,249,2,40
ARRIVAL,255,1,28
ARRIVAL,260,4,58
ARRIVAL,260,1,34
ARRIVAL,275,2,45
ARRIVAL,279,4,52
ARRIVAL,280,2,42
ARRIVAL,285,2,41
ARRIVAL,287,3,38
ARRIVAL,295,1,30
