# ARRIVAL, arrival_time, group_size, dining_duration
ARRIVAL,72,4,62
ARRIVAL,85,4,57
ARRIVAL,90,6,79
ARRIVAL,95,5,79
ARRIVAL,95,3,63
ARRIVAL,100,4,68
ARRIVAL,103,3,62
ARRIVAL,113,4,70
ARRIVAL,120,6,69
ARRIVAL,123,3,56
ARRIVAL,130,2,58
ARRIVAL,130,4,69
ARRIVAL,147,3,64
ARRIVAL,150,3,63
ARRIVAL,150,2,45
ARRIVAL,160,5,63
ARRIVAL,160,5,62
ARRIVAL,164,3,64
ARRIVAL,164,4,71
ARRIVAL,167,4,70
ARRIVAL,183,2,56
ARRIVAL,189,3,54
ARRIVAL,195,4,57
ARRIVAL,200,2,58
ARRIVAL,205,4,72
ARRIVAL,214,3,64
ARRIVAL,223,2,53
ARRIVAL,225,4,72
ARRIVAL,230,3,53
ARRIVAL,243,2,58
ARRIVAL,260,2,49
ARRIVAL,268,4,68
ARRIVAL,280,4,58
ARRIVAL,288,6,72
ARRIVAL,291,3,52
ARRIVAL,297,6,78
