# ARRIVAL, arrival_time, group_size, dining_duration
ARRIVAL,0,3,28
ARRIVAL,0,2,18
ARRIVAL,5,3,31
ARRIVAL,20,1,16
ARRIVAL,20,2,19
ARRIVAL,20,2,17
ARRIVAL,20,1,16
ARRIVAL,22,1,22
ARRIVAL,24,2,26
ARRIVAL,25,2,17
ARRIVAL,39,1,22
ARRIVAL,45,2,17
ARRIVAL,50,2,20
ARRIVAL,52,2,19
ARRIVAL,53,1,18
ARRIVAL,59,2,25
ARRIVAL,60,1,20
ARRIVAL,61,3,21
ARRIVAL,63,3,26
ARRIVAL,64,2,18
ARRIVAL,64,1,18
ARRIVAL,65,2,23
ARRIVAL,65,4,32
ARRIVAL,66,2,27
ARRIVAL,70,2,25
ARRIVAL,70,2,24
ARRIVAL,73,2,26
ARRIVAL,75,1,17
ARRIVAL,75,1,20
ARRIVAL,75,1,23
ARRIVAL,76,2,27
ARRIVAL,80,4,26
ARRIVAL,81,1,16
ARRIVAL,83,2,22
ARRIVAL,83,2,21
ARRIVAL,90,2,17
ARRIVAL,90,2,22
ARRIVAL,91,2,18
ARRIVAL,94,4,30
ARRIVAL,95,3,29
ARRIVAL,100,2,21
ARRIVAL,103,2,17
ARRIVAL,105,2,19
ARRIVAL,109,4,26
ARRIVAL,115,1,20
ARRIVAL,116,1,21
ARRIVAL,120,1,20
ARRIVAL,125,2,22
ARRIVAL,125,2,26
ARRIVAL,126,2,25
ARRIVAL,126,1,22
ARRIVAL,129,2,24
ARRIVAL,129,1,22
ARRIVAL,130,2,20
ARRIVAL,133,1,22
ARRIVAL,135,2,17
ARRIVAL,145,3,25
ARRIVAL,145,4,31
ARRIVAL,150,1,16
ARRIVAL,152,3,26
ARRIVAL,160,2,21
ARRIVAL,163,1,16
ARRIVAL,165,2,26
ARRIVAL,167,4,29
ARRIVAL,170,2,21
ARRIVAL,178,2,17
ARRIVAL,180,2,23
ARRIVAL,183,2,23
ARRIVAL,187,4,30
ARRIVAL,188,3,25
ARRIVAL,190,2,22
ARRIVAL,190,1,21
ARRIVAL,190,2,19
ARRIVAL,194,2,25
ARRIVAL,198,2,24
ARRIVAL,200,2,24
ARRIVAL,200,2,21
ARRIVAL,208,2,23
ARRIVAL,212,1,20
ARRIVAL,215,1,18
ARRIVAL,215,4,34
ARRIVAL,225,1,21
ARRIVAL,227,3,23
ARRIVAL,230,2,23
ARRIVAL,237,1,21
ARRIVAL,237,1,22
ARRIVAL,240,2,23
ARRIVAL,244,1,20
ARRIVAL,245,2,17
ARRIVAL,248,3,28
ARRIVAL,249,3,25
ARRIVAL,255,2,17
ARRIVAL,255,2,21
ARRIVAL,260,1,20
ARRIVAL,261,2,27
ARRIVAL,265,3,24
ARRIVAL,280,2,23
ARRIVAL,282,1,15
ARRIVAL,295,2,22
ARRIVAL,295,1,21
