# ARRIVAL, arrival_time, group_size, dining_duration
ARRIVAL,20,4,67
ARRIVAL,20,5,78
ARRIVAL,28,4,75
ARRIVAL,59,4,68
ARRIVAL,65,4,66
ARRIVAL,80,3,62
ARRIVAL,83,4,67
ARRIVAL,83,3,67
ARRIVAL,87,3,55
ARRIVAL,95,4,60
ARRIVAL,95,4,62
ARRIVAL,100,2,56
ARRIVAL,107,3,60
ARRIVAL,134,5,75
ARRIVAL,140,6,79
ARRIVAL,145,4,68
ARRIVAL,150,4,74
ARRIVAL,155,5,84
ARRIVAL,160,3,70
ARRIVAL,165,4,73
ARRIVAL,168,4,60
ARRIVAL,171,2,52
ARRIVAL,175,3,67
ARRIVAL,180,4,71
ARRIVAL,185,4,58
ARRIVAL,185,3,65
ARRIVAL,195,6,91
ARRIVAL,216,2,56
ARRIVAL,225,4,73
ARRIVAL,230,5,82
ARRIVAL,231,2,53
ARRIVAL,235,6,90
ARRIVAL,245,4,67
ARRIVAL,247,2,54
ARRIVAL,270,4,70
ARRIVAL,280,3,67
ARRIVAL,283,4,72
