# ARRIVAL, arrival_time, group_size, dining_duration
ARRIVAL,0,2,21
ARRIVAL,5,1,25
ARRIVAL,8,4,37
ARRIVAL,22,2,20
ARRIVAL,22,1,19
ARRIVAL,30,2,25
ARRIVAL,35,4,38
ARRIVAL,36,2,23
ARRIVAL,40,1,18
ARRIVAL,40,1,21
ARRIVAL,53,2,30
ARRIVAL,57,2,25
ARRIVAL,60,2,23
ARRIVAL,64,1,24
ARRIVAL,65,2,25
ARRIVAL,70,1,22
ARRIVAL,70,1,17
ARRIVAL,73,2,25
ARRIVAL,79,2,25
ARRIVAL,86,3,34
ARRIVAL,90,2,21
ARRIVAL,95,1,21
ARRIVAL,100,2,20
ARRIVAL,100,3,32
ARRIVAL,100,1,23
ARRIVAL,101,1,17
ARRIVAL,104,3,27
ARRIVAL,104,3,29
ARRIVAL,109,1,19
ARRIVAL,125,1,18
ARRIVAL,125,1,21
ARRIVAL,125,1,19
ARRIVAL,126,2,24
ARRIVAL,128,2,21
ARRIVAL,130,2,28
ARRIVAL,131,1,22
ARRIVAL,135,1,19
ARRIVAL,135,1,25
ARRIVAL,144,2,28
ARRIVAL,144,2,27
ARRIVAL,146,2,27
ARRIVAL,147,4,31
ARRIVAL,153,3,25
ARRIVAL,155,1,25
ARRIVAL,156,2,25
ARRIVAL,160,3,33
ARRIVAL,160,2,27
ARRIVAL,164,2,19
ARRIVAL,164,2,29
ARRIVAL,165,4,29
ARRIVAL,167,1,21
ARRIVAL,168,2,24
ARRIVAL,168,1,19
ARRIVAL,170,1,24
ARRIVAL,170,3,32
ARRIVAL,170,2,20
ARRIVAL,170,1,25
ARRIVAL,171,2,26
ARRIVAL,171,1,24
ARRIVAL,175,2,28
ARRIVAL,180,2,24
ARRIVAL,180,2,24
ARRIVAL,186,1,24
ARRIVAL,190,1,23
ARRIVAL,199,2,26
ARRIVAL,200,2,22
ARRIVAL,200,4,39
ARRIVAL,200,2,21
ARRIVAL,205,1,22
ARRIVAL,205,2,25
ARRIVAL,210,2,22
ARRIVAL,215,2,19
ARRIVAL,216,3,27
ARRIVAL,223,4,28
ARRIVAL,225,1,19
ARRIVAL,230,4,31
ARRIVAL,232,1,25
ARRIVAL,233,1,21
ARRIVAL,235,1,22
ARRIVAL,235,3,33
ARRIVAL,235,2,28
ARRIVAL,236,1,22
ARRIVAL,239,3,33
ARRIVAL,250,2,24
ARRIVAL,250,1,19
ARRIVAL,265,1,20
ARRIVAL,271,1,18
ARRIVAL,275,1,20
ARRIVAL,281,2,30
ARRIVAL,283,4,37
ARRIVAL,285,1,25
ARRIVAL,285,2,22
ARRIVAL,286,2,22
ARRIVAL,288,2,29
ARRIVAL,294,2,20
ARRIVAL,298,4,37
