source_file,scenario_name,actual_log_file,avg_wait,max_wait,median_wait,groups_served,seat_util,true_seat_util,service_level_15,max_queue_length,avg_queue_length,fairness_gap,total_seats,end_time
fcfs_seating_log_cafe_lunch_A.csv,cafe_lunch_A,fcfs_seating_log_cafe_lunch_A.csv,41.67,99.0,43.0,21,41.54,34.22,28.57,10,3.68,20.81,16,238
fcfs_seating_log_cafe_lunch_B.csv,cafe_lunch_B,fcfs_seating_log_cafe_lunch_B.csv,1.38,9.0,0.0,21,71.13,58.59,100.0,2,0.21,3.71,16,139
fcfs_seating_log_family_dinner_A.csv,family_dinner_A,fcfs_seating_log_family_dinner_A.csv,15.39,56.0,13.5,18,57.71,53.54,50.0,6,1.3,25.25,28,213
fcfs_seating_log_family_dinner_B.csv,family_dinner_B,fcfs_seating_log_family_dinner_B.csv,11.0,37.0,9.5,18,78.57,68.7,66.67,6,1.19,11.75,28,166
fcfs_seating_log_fastfood_rush_A.csv,fastfood_rush_A,fcfs_seating_log_fastfood_rush_A.csv,9.5,19.0,11.5,24,83.27,67.54,75.0,7,2.4,2.67,18,95
fcfs_seating_log_fastfood_rush_B.csv,fastfood_rush_B,fcfs_seating_log_fastfood_rush_B.csv,2.5,11.0,0.0,24,79.5,63.32,100.0,4,0.79,3.5,24,76
fcfs_seating_log_kbbq_hotpot_A.csv,kbbq_hotpot_A,fcfs_seating_log_kbbq_hotpot_A.csv,29.92,90.0,29.5,12,55.52,51.2,41.67,5,1.32,29.67,28,273
fcfs_seating_log_kbbq_hotpot_B.csv,kbbq_hotpot_B,fcfs_seating_log_kbbq_hotpot_B.csv,19.83,52.0,22.5,12,71.29,64.06,41.67,4,1.01,15.75,26,235
fcfs_seating_log_sushi_belt_A.csv,sushi_belt_A,fcfs_seating_log_sushi_belt_A.csv,14.31,55.0,8.5,26,48.1,45.15,57.69,9,2.5,22.43,15,149
fcfs_seating_log_sushi_belt_B.csv,sushi_belt_B,fcfs_seating_log_sushi_belt_B.csv,2.27,6.0,2.5,26,80.57,59.95,100.0,3,0.6,2.33,17,99
