group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,43,43,0,1,2,30,73
2,2,48,48,0,2,2,29,77
3,2,49,49,0,3,4,34,83
4,3,53,53,0,4,4,39,92
5,2,55,55,0,5,4,32,87
6,4,58,58,0,6,6,46,104
7,1,60,60,0,7,6,30,90
8,2,63,73,10,1,2,34,107
9,3,65,83,18,3,4,39,122
10,2,69,83,14,2,2,30,113
11,2,69,87,18,5,4,28,115
12,4,71,90,19,7,6,45,135
13,1,76,92,16,4,4,30,122
14,3,77,104,27,6,6,35,139
15,2,81,107,26,1,2,30,137
16,2,83,113,30,2,2,32,145
17,4,85,115,30,5,4,45,160
18,1,90,122,32,3,4,24,146
19,2,91,122,31,4,4,30,152
20,3,93,135,42,7,6,40,175
21,2,95,137,42,1,2,28,165
22,2,100,139,39,6,6,30,169
23,4,101,146,45,3,4,42,188
24,1,104,146,42,2,2,30,176
25,3,108,152,44,4,4,37,189
26,2,109,160,51,5,4,33,193
27,2,112,165,53,1,2,36,201
28,4,114,169,55,6,6,39,208
29,1,117,175,58,7,6,23,198
30,2,119,176,57,2,2,33,209
31,3,124,188,64,3,4,37,225
32,2,126,189,63,4,4,36,225
33,2,126,193,67,5,4,33,226
34,4,128,198,70,7,6,46,244
35,1,130,201,71,1,2,26,227
36,3,135,208,73,6,6,37,245
37,2,135,209,74,2,2,31,240
38,4,141,225,84,3,4,40,265
39,2,143,225,82,4,4,34,259
40,1,146,226,80,5,4,26,252
