group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,23,23
2,2,4,4,0,2,2,27,31
3,1,8,8,0,3,2,22,30
4,3,12,12,0,7,4,31,43
5,2,16,16,0,4,2,26,42
6,4,20,43,23,7,4,34,77
7,1,24,43,19,1,2,22,65
8,2,29,43,14,2,2,25,68
9,3,34,77,43,7,4,30,107
10,1,39,77,38,1,2,21,98
11,2,44,77,33,2,2,26,103
12,4,50,107,57,7,4,33,140
13,1,55,107,52,1,2,22,129
14,2,60,107,47,2,2,27,134
15,3,66,140,74,7,4,31,171
16,2,72,140,68,1,2,26,166
17,1,78,140,62,2,2,22,162
18,4,84,171,87,7,4,35,206
19,2,89,171,82,1,2,27,198
20,1,94,171,77,2,2,23,194
21,3,107,206,99,7,4,32,238
