group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,5,5,0,3,4,38,43
2,2,12,12,0,1,2,34,46
3,1,19,19,0,2,2,28,47
4,3,34,34,0,4,4,41,75
5,3,41,41,0,5,4,50,91
6,2,44,44,0,3,4,36,80
7,1,47,47,0,1,2,30,77
8,2,50,50,0,2,2,39,89
9,3,55,55,0,6,4,51,106
10,2,60,60,0,7,6,41,101
11,4,60,60,0,8,6,55,115
12,2,60,75,15,4,4,38,113
13,3,65,80,15,3,4,44,124
14,2,71,80,9,1,2,37,117
15,4,76,91,15,5,4,52,143
16,3,80,101,21,7,6,45,146
17,1,80,101,21,2,2,32,133
18,2,85,106,21,6,4,35,141
19,2,103,113,10,4,4,35,148
20,4,105,115,10,8,6,45,160
21,3,108,124,16,3,4,40,164
22,3,114,141,27,6,4,39,180
23,2,115,141,26,1,2,44,185
24,2,119,141,22,2,2,39,180
25,2,120,143,23,5,4,35,178
26,3,124,146,22,7,6,38,184
27,4,130,148,18,4,4,51,199
28,3,145,160,15,8,6,51,211
29,3,147,164,17,3,4,39,203
30,4,160,178,18,5,4,58,236
31,4,167,180,13,6,4,57,237
32,3,170,184,14,7,6,44,228
33,2,170,184,14,2,2,39,223
34,2,174,185,11,1,2,44,229
35,1,177,199,22,4,4,29,228
36,2,184,203,19,3,4,35,238
37,4,185,211,26,8,6,50,261
38,4,194,228,34,4,4,57,285
39,2,194,228,34,2,2,43,271
40,2,210,228,18,7,6,39,267
41,2,214,229,15,1,2,43,272
42,1,215,236,21,5,4,38,274
43,2,217,237,20,6,4,37,274
44,3,234,238,4,3,4,42,280
45,3,235,261,26,8,6,43,304
46,3,235,267,32,7,6,48,315
47,2,249,271,22,2,2,40,311
48,1,255,272,17,1,2,28,300
49,4,260,274,14,5,4,58,332
50,1,260,274,14,6,4,34,308
51,2,275,280,5,3,4,45,325
52,4,279,285,6,4,4,52,337
53,2,280,300,20,1,2,42,342
54,2,285,304,19,8,6,41,345
55,3,287,308,21,6,4,38,346
56,1,295,311,16,2,2,30,341
