group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,37,37
2,2,4,4,0,2,2,60,64
3,1,10,10,0,3,2,34,44
4,3,16,16,0,4,4,43,59
5,4,18,18,0,5,4,64,82
6,4,25,25,0,6,4,51,76
7,2,29,29,0,7,6,27,56
8,4,36,56,20,7,6,58,114
9,1,39,56,17,1,2,46,102
10,2,50,56,6,3,2,59,115
11,2,51,59,8,4,4,42,101
12,3,55,76,21,6,4,40,116
13,1,57,76,19,2,2,39,115
14,2,62,82,20,5,4,47,129
15,1,70,101,31,4,4,29,130
16,3,77,114,37,7,6,50,164
17,3,90,116,26,6,4,54,170
18,4,96,129,33,5,4,58,187
19,4,98,130,32,4,4,54,184
20,2,99,130,31,1,2,39,169
21,2,103,130,27,2,2,54,184
22,1,107,130,23,3,2,39,169
23,2,116,164,48,7,6,43,207
24,4,117,170,53,6,4,54,224
25,1,122,170,48,1,2,37,207
26,2,132,170,38,3,2,46,216
27,3,145,184,39,4,4,60,244
28,2,152,184,32,2,2,36,220
29,2,157,187,30,5,4,63,250
30,2,163,207,44,1,2,54,261
31,1,180,207,27,7,6,38,245
32,1,183,216,33,3,2,42,258
33,4,184,224,40,6,4,30,254
34,3,186,244,58,4,4,60,304
35,2,190,244,54,2,2,48,292
36,3,192,245,53,7,6,45,290
37,2,194,250,56,5,4,41,291
38,2,199,254,55,6,4,51,305
39,2,205,258,53,3,2,49,307
40,1,207,261,54,1,2,33,294
