group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,4,4,0,1,2,33,37
2,3,7,7,0,4,4,52,59
3,2,9,9,0,2,2,52,61
4,4,10,10,0,5,4,51,61
5,4,12,12,0,6,4,61,73
6,2,13,13,0,3,2,51,64
7,6,16,16,0,7,6,67,83
8,2,17,37,20,1,2,56,93
9,1,25,59,34,4,4,52,111
10,2,28,61,33,2,2,36,97
11,1,29,61,32,5,4,34,95
12,2,31,64,33,3,2,59,123
13,1,32,73,41,6,4,27,100
14,3,34,83,49,7,6,31,114
15,1,35,93,58,1,2,26,119
16,2,37,95,58,5,4,43,138
17,1,40,97,57,2,2,21,118
18,3,46,100,54,6,4,64,164
19,4,51,111,60,4,4,72,183
20,4,61,114,53,7,6,52,166
21,5,64,166,102,7,6,88,254
22,2,66,166,100,1,2,79,245
23,1,67,166,99,2,2,33,199
24,2,69,166,97,3,2,43,209
25,3,81,166,85,5,4,57,223
26,2,85,166,81,6,4,56,222
27,2,89,183,94,4,4,37,220
28,1,90,199,109,2,2,36,235
29,2,95,209,114,3,2,60,269
30,2,96,220,124,4,4,38,258
31,1,100,222,122,6,4,27,249
32,5,105,254,149,7,6,49,303
33,1,106,254,148,1,2,53,307
34,1,110,254,144,2,2,47,301
35,2,113,254,141,5,4,67,321
36,3,114,254,140,6,4,61,315
37,2,115,258,143,4,4,28,286
38,2,116,269,153,3,2,43,312
39,3,122,286,164,4,4,59,345
40,3,124,303,179,7,6,62,365
41,6,125,365,240,7,6,76,441
42,1,126,365,239,1,2,56,421
43,5,130,441,311,7,6,78,519
44,1,134,441,307,1,2,53,494
45,2,136,441,305,2,2,33,474
46,2,137,441,304,3,2,49,490
47,2,139,441,302,4,4,37,478
48,2,143,441,298,5,4,69,510
49,3,147,441,294,6,4,46,487
50,1,149,474,325,2,2,35,509
51,2,150,478,328,4,4,34,512
52,3,161,487,326,6,4,43,530
53,2,163,490,327,3,2,21,511
54,3,168,510,342,5,4,40,550
55,2,170,510,340,1,2,57,567
56,4,172,512,340,4,4,54,566
57,4,175,519,344,7,6,54,573
58,2,179,519,340,2,2,53,572
59,4,180,530,350,6,4,68,598
60,4,183,550,367,5,4,52,602
61,2,186,550,364,3,2,43,593
62,3,188,566,378,4,4,48,614
63,2,191,567,376,1,2,29,596
64,3,193,573,380,7,6,50,623
65,2,195,573,378,2,2,32,605
66,2,196,593,397,3,2,54,647
67,1,200,596,396,1,2,49,645
68,1,202,598,396,6,4,60,658
69,2,206,602,396,5,4,44,646
70,2,208,605,397,2,2,47,652
