group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,29,29
2,2,6,6,0,2,2,30,36
3,3,11,11,0,3,4,38,49
4,2,11,11,0,4,4,36,47
5,4,16,16,0,5,6,42,58
6,2,23,23,0,6,8,35,58
7,1,28,28,0,7,8,32,60
8,3,32,47,15,4,4,40,87
9,4,34,49,15,3,4,44,93
10,2,38,49,11,1,2,29,78
11,5,45,58,13,5,6,51,109
12,2,50,58,8,2,2,37,95
13,1,56,58,2,6,8,23,81
14,3,60,60,0,7,8,38,98
15,4,63,81,18,6,8,45,126
16,2,66,81,15,1,2,37,118
17,6,71,98,27,7,8,55,153
18,3,77,98,21,3,4,36,134
19,2,81,98,17,2,2,38,136
20,4,87,98,11,4,4,43,141
21,1,90,109,19,5,6,26,135
22,2,95,118,23,1,2,36,154
23,3,98,126,28,6,8,35,161
24,5,102,135,33,5,6,45,180
25,2,109,135,26,3,4,30,165
26,4,110,141,31,4,4,46,187
27,6,118,153,35,7,8,48,201
28,1,120,153,33,2,2,30,183
29,2,128,154,26,1,2,31,185
30,3,128,161,33,6,8,43,204
31,4,133,165,32,3,4,40,205
32,2,137,180,43,5,6,34,214
33,5,145,201,56,7,8,44,245
34,2,148,201,53,1,2,28,229
35,3,155,201,46,4,4,35,236
36,4,156,204,48,6,8,40,244
37,1,164,204,40,2,2,31,235
38,2,166,205,39,3,4,33,238
39,3,172,214,42,5,6,39,253
40,4,177,236,59,4,4,39,275
41,6,178,244,66,6,8,51,295
42,2,182,244,62,1,2,28,272
43,5,188,245,57,7,8,53,298
44,3,191,245,54,3,4,43,288
45,2,198,245,47,2,2,29,274
46,4,204,253,49,5,6,44,297
47,2,207,272,65,1,2,30,302
48,3,212,275,63,4,4,34,309
49,5,215,295,80,6,8,50,345
50,4,222,295,73,3,4,48,343
