group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,29,29
2,2,6,6,0,2,2,30,36
3,3,11,11,0,4,4,38,49
4,2,11,11,0,3,2,36,47
5,4,16,16,0,5,4,42,58
6,2,23,23,0,6,4,35,58
7,1,28,28,0,7,6,32,60
8,3,32,32,0,8,6,40,72
9,4,34,34,0,9,8,44,78
10,2,38,38,0,1,2,29,67
11,5,45,60,15,7,6,51,111
12,2,50,60,10,2,2,37,97
13,1,56,60,4,3,2,23,83
14,3,60,60,0,4,4,38,98
15,4,63,63,0,5,4,45,108
16,2,66,66,0,6,4,37,103
17,6,71,72,1,8,6,55,127
18,3,77,78,1,9,8,36,114
19,2,81,81,0,1,2,38,119
20,4,87,98,11,4,4,43,141
21,1,90,98,8,2,2,26,124
22,2,95,98,3,3,2,36,134
23,3,98,103,5,6,4,35,138
24,5,102,111,9,7,6,45,156
25,2,109,111,2,5,4,30,141
26,4,110,114,4,9,8,46,160
27,6,118,127,9,8,6,48,175
28,1,120,127,7,1,2,30,157
29,2,128,128,0,2,2,31,159
30,3,128,138,10,6,4,43,181
31,4,133,141,8,4,4,40,181
32,2,137,141,4,3,2,34,175
33,5,145,156,11,7,6,44,200
34,2,148,156,8,5,4,28,184
35,3,155,160,5,9,8,35,195
36,4,156,175,19,8,6,40,215
37,1,164,175,11,1,2,31,206
38,2,166,175,9,2,2,33,208
39,3,172,181,9,4,4,39,220
40,4,177,181,4,6,4,39,220
41,6,178,195,17,9,8,51,246
42,2,182,195,13,3,2,28,223
43,5,188,200,12,7,6,53,253
44,3,191,200,9,5,4,43,243
45,2,198,206,8,1,2,29,235
46,4,204,215,11,8,6,44,259
47,2,207,215,8,2,2,30,245
48,3,212,220,8,4,4,34,254
49,5,215,246,31,9,8,50,296
50,4,222,246,24,5,4,48,294
