group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,1,2,34,34
2,4,5,5,0,3,4,41,46
3,6,10,10,0,6,6,50,60
4,3,15,15,0,4,4,37,52
5,5,21,21,0,7,6,46,67
6,2,27,27,0,2,2,33,60
7,4,32,32,0,5,4,40,72
8,6,38,60,22,6,6,52,112
9,3,44,60,16,3,4,36,96
10,5,50,67,17,7,6,45,112
11,2,56,67,11,1,2,34,101
12,4,62,67,5,4,4,39,106
13,6,68,112,44,6,6,53,165
14,3,75,112,37,3,4,38,150
15,5,82,112,30,7,6,47,159
16,2,89,112,23,1,2,35,147
17,4,96,112,16,4,4,41,153
18,6,103,159,56,7,6,54,213
