group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,72,72,0,1,4,62,134
2,4,85,85,0,2,4,57,142
3,6,90,90,0,4,6,79,169
4,5,95,95,0,5,6,79,174
5,3,95,95,0,3,4,63,158
6,4,100,100,0,6,6,68,168
7,3,103,103,0,7,6,62,165
8,4,113,113,0,8,6,70,183
9,6,120,165,45,7,6,69,234
10,3,123,165,42,1,4,56,221
11,2,130,165,35,2,4,58,223
12,4,130,165,35,3,4,69,234
13,3,147,168,21,6,6,64,232
14,3,150,169,19,4,6,63,232
15,2,150,174,24,5,6,45,219
16,5,160,183,23,8,6,63,246
17,5,160,219,59,5,6,62,281
18,3,164,221,57,1,4,64,285
19,4,164,223,59,2,4,71,294
20,4,167,232,65,4,6,70,302
21,2,183,232,49,6,6,56,288
22,3,189,234,45,3,4,54,288
23,4,195,234,39,7,6,57,291
24,2,200,246,46,8,6,58,304
25,4,205,281,76,5,6,72,353
26,3,214,285,71,1,4,64,349
27,2,223,288,65,3,4,53,341
28,4,225,288,63,6,6,72,360
29,3,230,291,61,7,6,53,344
30,2,243,294,51,2,4,58,352
31,2,260,302,42,4,6,49,351
32,4,268,304,36,8,6,68,372
33,4,280,341,61,3,4,58,399
34,6,288,344,56,7,6,72,416
35,3,291,349,58,1,4,52,401
36,6,297,351,54,4,6,78,429
