group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,0,0,0,3,4,39,39
2,4,7,7,0,4,4,48,55
3,4,9,9,0,5,4,45,54
4,5,14,14,0,6,6,49,63
5,4,16,16,0,7,6,41,57
6,6,27,27,0,8,8,51,78
7,3,28,28,0,9,8,43,71
8,4,32,32,0,10,8,44,76
9,5,41,57,16,7,6,43,100
10,6,45,63,18,6,6,54,117
11,4,50,63,13,3,4,45,108
12,3,54,63,9,4,4,40,103
13,5,57,71,14,9,8,43,114
14,4,63,71,8,5,4,46,117
15,6,70,76,6,10,8,53,129
16,4,70,78,8,8,8,41,119
17,5,76,100,24,7,6,46,146
18,3,81,103,22,4,4,40,143
19,4,89,108,19,3,4,48,156
20,6,91,114,23,9,8,57,171
21,5,96,117,21,6,6,53,170
22,4,100,117,17,5,4,46,163
23,3,103,119,16,8,8,36,155
24,6,110,129,19,10,8,54,183
25,4,114,143,29,4,4,43,186
26,5,116,146,30,7,6,50,196
27,4,125,155,30,8,8,40,195
28,6,126,170,44,6,6,54,224
29,3,131,170,39,3,4,40,210
30,4,140,170,30,5,4,48,218
31,5,141,171,30,9,8,43,214
32,4,144,183,39,10,8,46,229
33,6,151,195,44,8,8,51,246
34,3,154,195,41,4,4,37,232
35,4,160,196,36,7,6,45,241
36,5,167,214,47,9,8,50,264
37,4,170,214,44,3,4,45,259
38,6,174,224,50,6,6,52,276
39,5,183,229,46,10,8,43,272
40,4,188,229,41,5,4,40,269
41,3,190,232,42,4,4,43,275
42,6,197,241,44,7,6,49,290
