group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,5,5,0,2,4,92,97
2,5,12,12,0,5,6,71,83
3,2,17,17,0,1,2,51,68
4,4,19,19,0,3,4,73,92
5,5,20,20,0,6,6,64,84
6,2,26,26,0,4,4,53,79
7,1,38,38,0,7,8,35,73
8,1,56,68,12,1,2,67,135
9,3,59,73,14,7,8,51,124
10,4,68,79,11,4,4,72,151
11,8,77,124,47,7,8,96,220
12,5,86,124,38,5,6,77,201
13,5,94,124,30,6,6,84,208
14,2,99,124,25,2,4,41,165
15,5,111,201,90,5,6,88,289
16,4,113,201,88,2,4,72,273
17,5,117,208,91,6,6,84,292
18,4,125,208,83,3,4,77,285
19,5,136,220,84,7,8,69,289
20,5,138,289,151,5,6,79,368
21,3,139,289,150,2,4,70,359
22,3,143,289,146,3,4,60,349
23,2,156,289,133,1,2,45,334
24,6,161,289,128,7,8,80,369
25,3,176,289,113,4,4,83,372
26,2,177,292,115,6,6,76,368
27,4,178,349,171,3,4,54,403
28,4,181,359,178,2,4,69,428
29,4,182,368,186,5,6,48,416
30,6,195,368,173,6,6,78,446
31,5,199,369,170,7,8,59,428
32,4,209,372,163,4,4,59,431
33,3,227,403,176,3,4,70,473
34,2,228,403,175,1,2,49,452
35,2,233,416,183,5,6,51,467
36,2,237,428,191,2,4,46,474
37,5,239,428,189,7,8,106,534
