group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,2,2,0,2,4,44,46
2,1,4,4,0,1,2,54,58
3,7,5,5,0,7,8,85,90
4,2,11,11,0,3,4,45,56
5,1,15,15,0,4,4,24,39
6,3,17,17,0,5,6,71,88
7,4,20,20,0,6,6,81,101
11,4,39,39,0,4,4,54,93
13,3,50,50,0,2,4,68,118
14,2,68,68,0,1,2,60,128
8,5,25,88,63,5,6,92,180
9,6,35,90,55,7,8,68,158
20,3,90,90,0,3,4,83,173
10,5,37,101,64,6,6,102,203
22,2,101,101,0,4,4,50,151
23,4,106,118,12,2,4,76,194
25,2,112,128,16,1,2,72,200
26,2,122,151,29,4,4,44,195
12,5,47,158,111,7,8,54,212
28,3,131,173,42,3,4,62,235
15,5,73,180,107,5,6,76,256
29,3,134,194,60,2,4,57,251
32,2,143,195,52,4,4,56,251
34,1,148,200,52,1,2,58,258
16,5,75,203,128,6,6,76,279
17,5,80,212,132,7,8,96,308
35,3,150,235,85,3,4,69,304
36,3,151,251,100,2,4,99,350
37,2,157,251,94,4,4,57,308
18,6,85,256,171,5,6,96,352
38,2,159,258,99,1,2,42,300
19,5,89,279,190,6,6,89,368
41,2,168,300,132,1,2,42,342
39,4,161,304,143,3,4,50,354
21,7,94,308,214,7,8,82,390
40,4,162,308,146,4,4,71,379
46,1,174,342,168,1,2,58,400
42,3,169,350,181,2,4,69,419
24,6,109,352,243,5,6,80,432
43,4,170,354,184,3,4,63,417
30,6,137,368,231,6,6,79,447
47,4,181,379,198,4,4,64,443
27,7,129,390,261,7,8,107,497
49,1,189,400,211,1,2,50,450
48,4,182,417,235,3,4,74,491
50,4,190,419,229,2,4,79,498
31,6,139,432,293,5,6,99,531
51,4,191,443,252,4,4,67,510
33,5,144,447,303,6,6,74,521
53,2,193,450,257,1,2,67,517
52,3,192,491,299,3,4,56,547
44,6,171,497,326,7,8,86,583
55,2,195,498,303,2,4,40,538
56,3,202,510,308,4,4,69,579
60,2,208,517,309,1,2,55,572
45,6,173,521,348,6,6,85,606
54,5,194,531,337,5,6,74,605
58,4,204,538,334,2,4,72,610
59,3,205,547,342,3,4,38,585
63,2,214,572,358,1,2,48,620
64,4,215,579,364,4,4,72,651
57,6,203,583,380,7,8,113,696
68,2,224,585,361,3,4,81,666
61,5,209,605,396,5,6,63,668
62,5,212,606,394,6,6,106,712
69,4,225,610,385,2,4,66,676
72,4,237,651,414,4,4,73,724
65,5,219,668,449,5,6,84,752
66,6,221,696,475,7,8,86,782
67,5,223,712,489,6,6,82,794
70,5,229,752,523,5,6,70,822
71,5,230,782,552,7,8,59,841
