group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,14,14
2,2,18,18,0,1,2,17,35
3,1,34,34,0,2,2,15,49
4,2,48,48,0,1,2,18,66
5,1,63,63,0,2,2,14,77
6,3,82,82,0,5,4,20,102
7,1,110,110,0,1,2,15,125
8,2,128,128,0,1,2,18,146
9,1,146,146,0,1,2,15,161
10,2,165,165,0,1,2,19,184
11,1,188,188,0,1,2,14,202
12,3,210,210,0,5,4,21,231
13,2,228,228,0,1,2,18,246
14,1,234,234,0,2,2,14,248
15,2,241,241,0,3,2,17,258
16,3,248,248,0,5,4,20,268
17,1,256,256,0,1,2,15,271
18,2,264,264,0,2,2,18,282
19,4,272,272,0,5,4,24,296
20,1,280,280,0,1,2,14,294
21,2,289,289,0,2,2,18,307
22,3,297,297,0,5,4,21,318
23,1,306,306,0,1,2,15,321
24,2,315,315,0,2,2,19,334
25,4,324,324,0,5,4,25,349
26,1,333,333,0,1,2,14,347
27,2,341,341,0,2,2,18,359
28,3,350,350,0,5,4,20,370
29,1,360,360,0,1,2,15,375
30,2,370,370,0,2,2,18,388
31,1,400,400,0,1,2,14,414
32,2,418,418,0,1,2,17,435
33,1,437,437,0,1,2,15,452
34,2,455,455,0,1,2,18,473
35,3,470,470,0,5,4,20,490
36,1,488,488,0,1,2,14,502
37,2,505,505,0,1,2,18,523
38,1,522,522,0,2,2,15,537
39,2,540,540,0,1,2,18,558
40,1,548,548,0,2,2,14,562
41,3,556,556,0,5,4,21,577
42,2,565,565,0,1,2,19,584
43,1,574,574,0,2,2,15,589
44,4,584,584,0,5,4,25,609
45,2,594,594,0,1,2,18,612
46,1,603,603,0,2,2,14,617
47,3,612,612,0,5,4,22,634
48,2,622,622,0,1,2,19,641
49,1,633,633,0,2,2,15,648
50,4,645,645,0,5,4,24,669
51,2,658,658,0,1,2,18,676
52,1,672,672,0,2,2,14,686
53,1,690,690,0,1,2,15,705
54,2,701,701,0,2,2,17,718
55,1,710,710,0,1,2,14,724
56,2,719,719,0,2,2,17,736
