group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,14,14
2,2,12,12,0,2,2,17,29
3,1,24,24,0,1,2,15,39
4,2,35,35,0,2,2,18,53
5,3,47,47,0,5,4,20,67
6,1,59,59,0,1,2,14,73
7,2,72,72,0,2,2,17,89
8,1,88,88,0,1,2,15,103
9,2,110,110,0,1,2,18,128
10,1,122,122,0,2,2,14,136
11,2,135,135,0,1,2,17,152
12,3,148,148,0,5,4,20,168
13,1,162,162,0,1,2,15,177
14,2,176,176,0,2,2,18,194
15,4,192,192,0,5,4,24,216
16,1,208,208,0,1,2,14,222
17,2,225,225,0,1,2,18,243
18,1,231,231,0,2,2,14,245
19,2,237,237,0,3,2,17,254
20,3,243,243,0,5,4,20,263
21,1,249,249,0,1,2,15,264
22,2,255,255,0,2,2,18,273
23,4,261,261,0,6,4,24,285
24,2,268,268,0,1,2,18,286
25,1,274,274,0,2,2,14,288
26,2,280,280,0,3,2,17,297
27,3,286,286,0,5,4,21,307
28,1,292,292,0,1,2,15,307
29,2,298,298,0,2,2,18,316
30,4,304,304,0,6,4,25,329
31,2,311,311,0,1,2,18,329
32,1,317,317,0,2,2,14,331
33,2,323,323,0,3,2,17,340
34,3,329,329,0,5,4,20,349
35,1,335,335,0,1,2,15,350
36,2,341,341,0,2,2,18,359
37,4,347,347,0,6,4,24,371
38,2,354,354,0,1,2,19,373
39,1,360,360,0,2,2,14,374
40,2,366,366,0,3,2,18,384
41,3,372,372,0,5,4,21,393
42,1,378,378,0,1,2,15,393
43,2,384,384,0,2,2,18,402
44,4,390,390,0,6,4,25,415
45,1,418,418,0,1,2,14,432
46,2,430,430,0,2,2,17,447
47,1,442,442,0,1,2,15,457
48,2,454,454,0,2,2,18,472
49,3,466,466,0,5,4,20,486
50,1,478,478,0,1,2,14,492
51,2,490,490,0,2,2,18,508
52,1,502,502,0,1,2,15,517
53,2,514,514,0,2,2,19,533
54,3,526,526,0,5,4,20,546
55,2,545,545,0,1,2,18,563
56,1,551,551,0,2,2,14,565
57,3,557,557,0,5,4,21,578
58,2,563,563,0,1,2,19,582
59,1,569,569,0,2,2,15,584
60,4,575,575,0,6,4,24,599
61,2,582,582,0,1,2,18,600
62,1,589,589,0,2,2,14,603
63,3,596,596,0,5,4,22,618
64,2,603,603,0,1,2,19,622
65,1,610,610,0,2,2,15,625
66,4,617,617,0,6,4,25,642
67,2,624,624,0,1,2,18,642
68,1,631,631,0,2,2,14,645
69,3,638,638,0,5,4,21,659
70,2,645,645,0,1,2,19,664
71,1,652,652,0,2,2,15,667
72,4,659,659,0,5,4,24,683
73,2,667,667,0,1,2,18,685
74,1,675,675,0,2,2,14,689
75,3,684,684,0,5,4,22,706
76,2,694,694,0,1,2,19,713
77,1,705,705,0,2,2,15,720
78,2,712,712,0,3,2,18,730
79,1,718,718,0,1,2,14,732
80,2,720,720,0,2,2,17,737
