group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,0,0,0,5,4,28,28
2,2,0,0,0,1,2,18,18
3,3,5,5,0,6,4,31,36
4,1,20,20,0,1,2,16,36
5,2,20,20,0,2,2,19,39
6,2,20,20,0,3,2,17,37
7,1,20,20,0,4,2,16,36
8,1,22,22,0,7,4,22,44
9,2,24,28,4,5,4,26,54
10,2,25,36,11,1,2,17,53
11,1,39,39,0,2,2,22,61
12,2,45,45,0,3,2,17,62
13,2,50,50,0,4,2,20,70
14,2,52,52,0,6,4,19,71
15,1,53,53,0,1,2,18,71
16,2,59,59,0,5,4,25,84
17,1,60,60,0,7,4,20,80
18,3,61,71,10,6,4,21,92
19,3,63,80,17,7,4,26,106
20,2,64,80,16,1,2,18,98
21,1,64,80,16,2,2,18,98
22,2,65,80,15,3,2,23,103
23,4,65,84,19,5,4,32,116
24,2,66,84,18,4,2,27,111
25,2,70,92,22,6,4,25,117
26,2,70,98,28,1,2,24,122
27,2,73,98,25,2,2,26,124
28,1,75,103,28,3,2,17,120
29,1,75,106,31,7,4,20,126
30,1,75,111,36,4,2,23,134
31,2,76,116,40,5,4,27,143
32,4,80,117,37,6,4,26,143
33,1,81,120,39,3,2,16,136
34,2,83,122,39,1,2,22,144
35,2,83,124,41,2,2,21,145
36,2,90,126,36,7,4,17,143
37,2,90,134,44,4,2,22,156
38,2,91,136,45,3,2,18,154
39,4,94,143,49,5,4,30,173
40,3,95,143,48,6,4,29,172
41,2,100,143,43,7,4,21,164
42,2,103,144,41,1,2,17,161
43,2,105,145,40,2,2,19,164
44,4,109,164,55,7,4,26,190
45,1,115,164,49,1,2,20,184
46,1,116,164,48,2,2,21,185
47,1,120,164,44,3,2,20,184
48,2,125,164,39,4,2,22,186
49,2,125,172,47,6,4,26,198
50,2,126,173,47,5,4,25,198
51,1,126,184,58,1,2,22,206
52,2,129,184,55,3,2,24,208
53,1,129,185,56,2,2,22,207
54,2,130,186,56,4,2,20,206
55,1,133,190,57,7,4,22,212
56,2,135,198,63,5,4,17,215
57,3,145,198,53,6,4,25,223
58,4,145,212,67,7,4,31,243
59,1,150,212,62,1,2,16,228
60,3,152,215,63,5,4,26,241
61,2,160,215,55,2,2,21,236
62,1,163,215,52,3,2,16,231
63,2,165,215,50,4,2,26,241
64,4,167,223,56,6,4,29,252
65,2,170,228,58,1,2,21,249
66,2,178,231,53,3,2,17,248
67,2,180,236,56,2,2,23,259
68,2,183,241,58,4,2,23,264
69,4,187,241,54,5,4,30,271
70,3,188,243,55,7,4,25,268
71,2,190,248,58,3,2,22,270
72,1,190,249,59,1,2,21,270
73,2,190,252,62,6,4,19,271
74,2,194,259,65,2,2,25,284
75,2,198,264,66,4,2,24,288
76,2,200,268,68,7,4,24,292
77,2,200,270,70,1,2,21,291
78,2,208,270,62,3,2,23,293
79,1,212,271,59,5,4,20,291
80,1,215,271,56,6,4,18,289
81,4,215,289,74,6,4,34,323
82,1,225,289,64,2,2,21,310
83,3,227,291,64,5,4,23,314
84,2,230,291,61,1,2,23,314
85,1,237,291,54,4,2,21,312
86,1,237,292,55,7,4,22,314
87,2,240,293,53,3,2,23,316
88,1,244,310,66,2,2,20,330
89,2,245,312,67,4,2,17,329
90,3,248,314,66,5,4,28,342
91,3,249,314,65,7,4,25,339
92,2,255,314,59,1,2,17,331
93,2,255,316,61,3,2,21,337
94,1,260,323,63,6,4,20,343
95,2,261,329,68,4,2,27,356
96,3,265,339,74,7,4,24,363
97,2,280,339,59,1,2,23,362
98,1,282,339,57,2,2,15,354
99,2,295,339,44,3,2,22,361
100,1,295,342,47,5,4,21,363
