group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,0,0,0,6,4,28,28
2,2,0,0,0,1,2,18,18
3,3,5,5,0,7,4,31,36
4,1,20,20,0,1,2,16,36
5,2,20,20,0,2,2,19,39
6,2,20,20,0,3,2,17,37
7,1,20,20,0,4,2,16,36
8,1,22,22,0,5,2,22,44
9,2,24,24,0,8,4,26,50
10,2,25,25,0,9,4,17,42
11,1,39,39,0,1,2,22,61
12,2,45,45,0,2,2,17,62
13,2,50,50,0,3,2,20,70
14,2,52,52,0,4,2,19,71
15,1,53,53,0,5,2,18,71
16,2,59,59,0,6,4,25,84
17,1,60,60,0,7,4,20,80
18,3,61,61,0,8,4,21,82
19,3,63,63,0,9,4,26,89
20,2,64,64,0,1,2,18,82
21,1,64,64,0,2,2,18,82
22,2,65,70,5,3,2,23,93
23,4,65,80,15,7,4,32,112
24,2,66,80,14,4,2,27,107
25,2,70,80,10,5,2,25,105
26,2,70,82,12,1,2,24,106
27,2,73,82,9,2,2,26,108
28,1,75,82,7,8,4,17,99
29,1,75,84,9,6,4,20,104
30,1,75,89,14,9,4,23,112
31,2,76,93,17,3,2,27,120
32,4,80,99,19,8,4,26,125
33,1,81,104,23,6,4,16,120
34,2,83,105,22,5,2,22,127
35,2,83,106,23,1,2,21,127
36,2,90,107,17,4,2,17,124
37,2,90,108,18,2,2,22,130
38,2,91,112,21,7,4,18,130
39,4,94,112,18,9,4,30,142
40,3,95,120,25,6,4,29,149
41,2,100,120,20,3,2,21,141
42,2,103,124,21,4,2,17,141
43,2,105,125,20,8,4,19,144
44,4,109,130,21,7,4,26,156
45,1,115,130,15,1,2,20,150
46,1,116,130,14,2,2,21,151
47,1,120,130,10,5,2,20,150
48,2,125,141,16,3,2,22,163
49,2,125,141,16,4,2,26,167
50,2,126,142,16,9,4,25,167
51,1,126,144,18,8,4,22,166
52,2,129,149,20,6,4,24,173
53,1,129,150,21,1,2,22,172
54,2,130,150,20,5,2,20,170
55,1,133,151,18,2,2,22,173
56,2,135,156,21,7,4,17,173
57,3,145,166,21,8,4,25,191
58,4,145,167,22,9,4,31,198
59,1,150,167,17,3,2,16,183
60,3,152,173,21,6,4,26,199
61,2,160,173,13,1,2,21,194
62,1,163,173,10,2,2,16,189
63,2,165,173,8,4,2,26,199
64,4,167,173,6,7,4,29,202
65,2,170,173,3,5,2,21,194
66,2,178,183,5,3,2,17,200
67,2,180,189,9,2,2,23,212
68,2,183,191,8,8,4,23,214
69,4,187,198,11,9,4,30,228
70,3,188,199,11,6,4,25,224
71,2,190,199,9,1,2,22,221
72,1,190,199,9,4,2,21,220
73,2,190,199,9,5,2,19,218
74,2,194,200,6,3,2,25,225
75,2,198,202,4,7,4,24,226
76,2,200,212,12,2,2,24,236
77,2,200,214,14,8,4,21,235
78,2,208,218,10,5,2,23,241
79,1,212,220,8,4,2,20,240
80,1,215,221,6,1,2,18,239
81,4,215,224,9,6,4,34,258
82,1,225,225,0,3,2,21,246
83,3,227,227,0,7,4,23,250
84,2,230,230,0,9,4,23,253
85,1,237,237,0,2,2,21,258
86,1,237,237,0,8,4,22,259
87,2,240,240,0,1,2,23,263
88,1,244,244,0,4,2,20,264
89,2,245,245,0,5,2,17,262
90,3,248,250,2,7,4,28,278
91,3,249,253,4,9,4,25,278
92,2,255,255,0,3,2,17,272
93,2,255,258,3,2,2,21,279
94,1,260,260,0,6,4,20,280
95,2,261,261,0,8,4,27,288
96,3,265,278,13,7,4,24,302
97,2,280,280,0,1,2,23,303
98,1,282,282,0,2,2,15,297
99,2,295,295,0,3,2,22,317
100,1,295,295,0,4,2,21,316
