group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,16,16
2,2,1,1,0,2,2,18,19
3,1,3,3,0,3,2,15,18
4,2,4,4,0,4,2,20,24
5,3,6,6,0,6,4,24,30
6,1,7,7,0,5,2,16,23
7,2,9,9,0,7,4,19,28
9,1,12,16,4,1,2,17,33
10,2,14,18,4,3,2,18,36
12,1,17,19,2,2,2,15,34
13,2,19,23,4,5,2,20,43
15,1,23,24,1,4,2,16,40
8,4,10,28,18,7,4,26,54
11,3,15,30,15,6,4,25,55
16,2,25,33,8,1,2,18,51
18,1,30,34,4,2,2,15,49
19,2,33,36,3,3,2,19,55
20,1,36,40,4,4,2,16,56
21,2,39,43,4,5,2,18,61
14,4,21,54,33,7,4,28,82
17,3,27,55,28,6,4,24,79
22,4,42,79,37,6,4,27,106
