group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,20,20,0,1,4,67,87
2,5,20,20,0,7,6,78,98
3,4,28,28,0,2,4,75,103
4,4,59,59,0,3,4,68,127
5,4,65,65,0,4,4,66,131
6,3,80,80,0,5,4,62,142
7,4,83,83,0,6,4,67,150
8,3,83,83,0,8,6,67,150
9,3,87,87,0,1,4,55,142
10,4,95,95,0,9,6,60,155
11,4,95,98,3,7,6,62,160
12,2,100,103,3,2,4,56,159
13,3,107,127,20,3,4,60,187
14,5,134,150,16,8,6,75,225
15,6,140,155,15,9,6,79,234
16,4,145,155,10,1,4,68,223
17,4,150,155,5,4,4,74,229
18,5,155,160,5,7,6,84,244
19,3,160,160,0,2,4,70,230
20,4,165,165,0,5,4,73,238
21,4,168,168,0,6,4,60,228
22,2,171,187,16,3,4,52,239
23,3,175,223,48,1,4,67,290
24,4,180,225,45,8,6,71,296
25,4,185,228,43,6,4,58,286
26,3,185,229,44,4,4,65,294
27,6,195,234,39,9,6,91,325
28,2,216,234,18,2,4,56,290
29,4,225,238,13,5,4,73,311
30,5,230,244,14,7,6,82,326
31,2,231,244,13,3,4,53,297
32,6,235,296,61,8,6,90,386
33,4,245,296,51,1,4,67,363
34,2,247,296,49,2,4,54,350
35,4,270,296,26,4,4,70,366
36,3,280,296,16,6,4,67,363
37,4,283,297,14,3,4,72,369
