group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,2,2,0,1,2,20,22
2,2,3,3,0,2,4,27,30
3,2,9,9,0,3,4,24,33
4,1,11,11,0,4,4,26,37
5,2,15,15,0,5,4,24,39
6,3,16,16,0,6,6,32,48
7,2,23,23,0,1,2,26,49
8,1,24,30,6,2,4,24,54
9,4,30,33,3,3,4,30,63
10,2,31,37,6,4,4,30,67
11,2,35,39,4,5,4,30,69
12,1,40,48,8,6,6,26,74
13,3,41,54,13,2,4,28,82
14,2,46,54,8,1,2,28,82
15,2,50,63,13,3,4,29,92
16,4,51,67,16,4,4,33,100
17,1,56,69,13,5,4,26,95
18,2,59,74,15,6,6,24,98
19,2,62,82,20,1,2,23,105
20,3,65,82,17,2,4,26,108
21,2,71,92,21,3,4,24,116
22,1,76,95,19,5,4,25,120
23,4,77,98,21,6,6,38,136
24,2,80,100,20,4,4,25,125
25,2,85,105,20,1,2,30,135
26,3,88,108,20,2,4,34,142
27,1,90,116,26,3,4,20,136
28,2,96,120,24,5,4,29,149
29,2,99,125,26,4,4,28,153
30,4,101,136,35,3,4,37,173
31,3,103,136,33,6,6,27,163
32,2,110,136,26,1,2,25,161
33,1,113,142,29,2,4,19,161
34,2,116,149,33,5,4,27,176
35,2,118,153,35,4,4,28,181
36,3,121,161,40,2,4,29,190
37,4,128,163,35,6,6,38,201
38,2,130,163,33,1,2,28,191
39,1,133,173,40,3,4,24,197
40,2,138,176,38,5,4,28,204
41,3,141,181,40,4,4,28,209
42,2,143,190,47,2,4,24,214
43,1,148,191,43,1,2,23,214
44,2,149,197,48,3,4,25,222
45,3,155,201,46,6,6,27,228
46,4,159,204,45,5,4,33,237
47,2,159,209,50,4,4,26,235
48,2,166,214,48,1,2,28,242
