group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,2,2,0,1,2,20,22
2,2,3,3,0,2,2,27,30
3,2,9,9,0,3,2,24,33
4,1,11,11,0,4,2,26,37
5,2,15,15,0,5,4,24,39
6,3,16,16,0,6,4,32,48
7,2,23,23,0,1,2,26,49
8,1,24,24,0,7,6,24,48
9,4,30,39,9,5,4,30,69
10,2,31,39,8,2,2,30,69
11,2,35,39,4,3,2,30,69
12,1,40,40,0,4,2,26,66
13,3,41,48,7,6,4,28,76
14,2,46,48,2,7,6,28,76
15,2,50,50,0,1,2,29,79
16,4,51,69,18,5,4,33,102
17,1,56,69,13,2,2,26,95
18,2,59,69,10,3,2,24,93
19,2,62,69,7,4,2,23,92
20,3,65,76,11,6,4,26,102
21,2,71,76,5,7,6,24,100
22,1,76,79,3,1,2,25,104
23,4,77,100,23,7,6,38,138
24,2,80,100,20,2,2,25,125
25,2,85,100,15,3,2,30,130
26,3,88,102,14,5,4,34,136
27,1,90,102,12,4,2,20,122
28,2,96,102,6,6,4,29,131
29,2,99,104,5,1,2,28,132
30,4,101,131,30,6,4,37,168
31,3,103,136,33,5,4,27,163
32,2,110,136,26,1,2,25,161
33,1,113,136,23,2,2,19,155
34,2,116,136,20,3,2,27,163
35,2,118,136,18,4,2,28,164
36,3,121,138,17,7,6,29,167
37,4,128,163,35,5,4,38,201
38,2,130,163,33,1,2,28,191
39,1,133,163,30,2,2,24,187
40,2,138,163,25,3,2,28,191
41,3,141,167,26,7,6,28,195
42,2,143,167,24,4,2,24,191
43,1,148,168,20,6,4,23,191
44,2,149,187,38,2,2,25,212
45,3,155,191,36,6,4,27,218
46,4,159,195,36,7,6,33,228
47,2,159,195,36,1,2,26,221
48,2,166,195,29,3,2,28,223
