group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,2,2,0,1,2,36,38
2,2,9,9,0,2,2,36,45
3,1,17,17,0,3,4,31,48
4,3,22,22,0,4,4,39,61
5,2,25,25,0,5,4,35,60
6,4,32,32,0,6,6,41,73
7,2,36,36,0,7,6,28,64
8,1,44,44,0,1,2,29,73
9,3,56,56,0,3,4,39,95
10,2,56,56,0,2,2,31,87
11,2,62,62,0,4,4,36,98
12,4,74,74,0,5,4,44,118
13,1,82,82,0,1,2,28,110
14,2,84,84,0,6,6,38,122
15,3,87,87,0,7,6,34,121
16,2,95,95,0,2,2,38,133
17,5,104,104,0,8,8,53,157
18,2,114,114,0,1,2,36,150
19,1,117,117,0,3,4,23,140
20,3,126,126,0,4,4,43,169
21,2,128,128,0,5,4,31,159
22,2,138,138,0,2,2,37,175
23,4,139,139,0,6,6,40,179
24,2,145,145,0,3,4,36,181
25,1,152,152,0,1,2,23,175
26,3,165,165,0,5,4,43,208
27,2,168,168,0,7,6,36,204
28,5,174,174,0,8,8,44,218
29,2,182,182,0,1,2,33,215
30,1,186,186,0,2,2,29,215
31,3,190,190,0,3,4,40,230
32,2,202,202,0,4,4,32,234
33,4,203,203,0,6,6,46,249
34,2,211,211,0,5,4,35,246
35,1,221,221,0,1,2,29,250
