group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,1,2,36,36
2,2,3,3,0,2,2,36,39
3,1,6,6,0,3,4,31,37
4,3,9,9,0,4,4,39,48
5,2,16,16,0,5,4,35,51
6,4,20,20,0,6,6,41,61
7,2,21,21,0,7,6,28,49
8,1,27,27,0,8,8,29,56
9,3,30,37,7,3,4,39,76
10,2,33,37,4,1,2,31,68
11,2,34,39,5,2,2,36,75
12,4,40,48,8,4,4,44,92
13,1,43,49,6,7,6,28,77
14,2,47,51,4,5,4,38,89
15,3,48,56,8,8,8,34,90
16,2,53,61,8,6,6,38,99
17,5,58,77,19,7,6,53,130
18,2,61,77,16,1,2,36,113
19,1,62,77,15,2,2,23,100
20,3,68,77,9,3,4,43,120
21,2,69,89,20,5,4,31,120
22,2,75,90,15,8,8,37,127
23,4,76,92,16,4,4,40,132
24,2,82,99,17,6,6,36,135
25,1,84,100,16,2,2,23,123
26,3,86,120,34,3,4,43,163
27,2,93,120,27,1,2,36,156
28,5,96,127,31,8,8,44,171
29,2,98,127,29,2,2,33,160
30,1,100,127,27,5,4,29,156
31,3,104,130,26,7,6,40,170
32,2,108,132,24,4,4,32,164
33,4,112,135,23,6,6,46,181
34,2,115,156,41,1,2,35,191
35,1,118,156,38,5,4,29,185
36,3,122,163,41,3,4,43,206
37,2,128,163,35,2,2,32,195
38,2,130,164,34,4,4,30,194
39,4,131,170,39,7,6,39,209
40,1,136,171,35,8,8,23,194
41,3,142,181,39,6,6,37,218
42,2,144,185,41,5,4,31,216
43,5,149,194,45,8,8,49,243
44,2,150,194,44,1,2,32,226
45,1,152,194,42,4,4,26,220
46,2,158,195,37,2,2,32,227
47,3,161,206,45,3,4,41,247
48,4,164,209,45,7,6,44,253
49,2,168,216,48,5,4,38,254
50,5,170,218,48,6,6,46,264
51,3,176,220,44,4,4,35,255
52,2,178,226,48,1,2,28,254
53,4,182,243,61,8,8,41,284
54,1,188,243,55,2,2,23,266
55,2,188,247,59,3,4,28,275
56,3,191,253,62,7,6,40,293
57,4,195,254,59,5,4,44,298
58,2,201,254,53,1,2,29,283
