group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,2,2,0,1,2,51,53
2,4,4,4,0,2,4,58,62
3,2,13,13,0,3,4,46,59
4,3,15,15,0,4,4,57,72
5,4,19,19,0,5,6,55,74
6,5,29,29,0,6,6,66,95
7,2,35,35,0,7,8,44,79
8,4,37,37,0,8,8,59,96
9,6,42,42,0,9,8,75,117
10,3,49,59,10,3,4,48,107
11,2,53,59,6,1,2,45,104
12,4,57,62,5,2,4,63,125
13,5,66,74,8,5,6,63,137
14,2,69,74,5,4,4,48,122
15,3,74,79,5,7,8,52,131
16,4,80,95,15,6,6,60,155
17,6,88,96,8,8,8,71,167
18,2,91,104,13,1,2,45,149
19,4,94,107,13,3,4,58,165
20,5,101,117,16,9,8,61,178
21,3,107,122,15,4,4,53,175
22,2,110,125,15,2,4,46,171
23,4,121,131,10,7,8,57,188
24,6,122,137,15,5,6,70,207
25,3,127,155,28,6,6,55,210
26,4,132,165,33,3,4,58,223
27,5,140,167,27,8,8,57,224
28,2,148,167,19,1,2,55,222
29,3,152,171,19,2,4,53,224
30,4,153,175,22,4,4,59,234
31,6,161,178,17,9,8,66,244
32,2,164,188,24,7,8,56,244
33,4,170,207,37,5,6,61,268
34,5,177,210,33,6,6,60,270
35,3,181,223,42,3,4,53,276
36,4,187,224,37,2,4,55,279
37,2,190,224,34,1,2,47,271
38,6,201,224,23,8,8,75,299
39,5,202,244,42,7,8,67,311
40,4,211,244,33,4,4,62,306
41,3,212,244,32,9,8,51,295
42,2,218,268,50,5,6,52,320
