group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,1,16,16
2,2,2,2,0,4,2,19,21
3,1,4,4,0,2,1,15,19
4,2,6,6,0,5,2,18,24
5,1,8,8,0,3,1,15,23
6,3,10,10,0,8,4,22,32
7,2,13,13,0,6,2,19,32
8,1,16,16,0,1,1,15,31
9,2,19,19,0,7,2,18,37
10,4,22,32,10,8,4,24,56
11,1,25,32,7,1,1,15,47
12,2,28,32,4,4,2,18,50
13,1,31,32,1,2,1,15,47
14,2,34,34,0,5,2,19,53
15,3,37,56,19,8,4,22,78
16,1,40,56,16,1,1,15,71
17,2,43,56,13,4,2,18,74
18,4,46,78,32,8,4,25,103
19,1,49,78,29,1,1,15,93
20,2,52,78,26,4,2,18,96
21,1,55,78,23,2,1,15,93
22,2,58,78,20,5,2,19,97
23,3,61,103,42,8,4,22,125
24,1,64,103,39,1,1,15,118
25,2,67,103,36,4,2,18,121
26,4,70,125,55,8,4,24,149
