group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,2,2,21,21
2,1,5,5,0,1,1,25,30
3,4,8,8,0,5,4,37,45
4,2,22,22,0,2,2,20,42
5,1,22,22,0,3,2,19,41
6,2,30,30,0,4,2,25,55
7,4,35,35,0,6,4,38,73
8,2,36,36,0,7,4,23,59
9,1,40,40,0,1,1,18,58
10,1,40,40,0,8,4,21,61
11,2,53,53,0,2,2,30,83
12,2,57,57,0,3,2,25,82
13,2,60,60,0,4,2,23,83
14,1,64,64,0,1,1,24,88
15,2,65,65,0,5,4,25,90
16,1,70,70,0,7,4,22,92
17,1,70,70,0,8,4,17,87
18,2,73,73,0,6,4,25,98
19,2,79,82,3,3,2,25,107
20,3,86,87,1,8,4,34,121
21,2,90,90,0,2,2,21,111
22,1,95,95,0,1,1,21,116
23,2,100,100,0,4,2,20,120
24,3,100,100,0,5,4,32,132
25,1,100,100,0,6,4,23,123
26,1,101,101,0,7,4,17,118
27,3,104,118,14,7,4,27,145
28,3,104,121,17,8,4,29,150
29,1,109,121,12,1,1,19,140
30,1,125,125,0,2,2,18,143
31,1,125,125,0,3,2,21,146
32,1,125,125,0,4,2,19,144
33,2,126,126,0,6,4,24,150
34,2,128,132,4,5,4,21,153
35,2,130,143,13,2,2,28,171
36,1,131,143,12,1,1,22,165
37,1,135,144,9,4,2,19,163
38,1,135,145,10,7,4,25,170
39,2,144,146,2,3,2,28,174
40,2,144,150,6,6,4,27,177
41,2,146,150,4,8,4,27,177
42,4,147,153,6,5,4,31,184
43,3,153,170,17,7,4,25,195
44,1,155,170,15,1,1,25,195
45,2,156,170,14,4,2,25,195
46,3,160,177,17,6,4,33,210
47,2,160,177,17,2,2,27,204
48,2,164,177,13,3,2,19,196
49,2,164,177,13,8,4,29,206
50,4,165,184,19,5,4,29,213
51,1,167,195,28,1,1,21,216
52,2,168,195,27,4,2,24,219
53,1,168,195,27,7,4,19,214
54,1,170,196,26,3,2,24,220
55,3,170,206,36,8,4,32,238
56,2,170,206,36,2,2,20,226
57,1,170,210,40,6,4,25,235
58,2,171,213,42,5,4,26,239
59,1,171,214,43,7,4,24,238
60,2,175,219,44,4,2,28,247
61,2,180,220,40,3,2,24,244
62,2,180,226,46,2,2,24,250
63,1,186,226,40,1,1,24,250
64,1,190,235,45,6,4,23,258
65,2,199,238,39,7,4,26,264
66,2,200,238,38,8,4,22,260
67,4,200,239,39,5,4,39,278
68,2,200,244,44,3,2,21,265
69,1,205,247,42,4,2,22,269
70,2,205,250,45,2,2,25,275
71,2,210,258,48,6,4,22,280
72,2,215,260,45,8,4,19,279
73,3,216,264,48,7,4,27,291
74,4,223,278,55,5,4,28,306
75,1,225,278,53,1,1,19,297
76,4,230,279,49,8,4,31,310
77,1,232,279,47,2,2,25,304
78,1,233,279,46,3,2,21,300
79,1,235,279,44,4,2,22,301
80,3,235,280,45,6,4,33,313
81,2,235,291,56,7,4,28,319
82,1,236,297,61,1,1,22,319
83,3,239,306,67,5,4,33,339
84,2,250,306,56,2,2,24,330
85,1,250,306,56,3,2,19,325
86,1,265,306,41,4,2,20,326
87,1,271,310,39,8,4,18,328
88,1,275,313,38,6,4,20,333
89,2,281,319,38,7,4,30,349
90,4,283,328,45,8,4,37,365
91,1,285,328,43,1,1,25,353
92,2,285,328,43,3,2,22,350
93,2,286,328,42,4,2,22,350
94,2,288,330,42,2,2,29,359
95,2,294,333,39,6,4,20,353
96,4,298,339,41,5,4,37,376
