group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,43,43,0,1,2,30,73
2,2,48,48,0,2,2,29,77
3,2,49,49,0,3,4,34,83
4,3,53,53,0,4,4,39,92
5,2,55,55,0,5,4,32,87
6,4,58,58,0,6,6,46,104
7,1,60,60,0,7,6,30,90
8,2,63,73,10,1,2,34,107
10,2,69,77,8,2,2,30,107
9,3,65,83,18,3,4,39,122
12,4,71,87,16,5,4,45,132
11,2,69,90,21,7,6,28,118
14,3,77,92,15,4,4,35,127
13,1,76,104,28,6,6,30,134
15,2,81,107,26,1,2,30,137
16,2,83,107,24,2,2,32,139
17,4,85,118,33,7,6,45,163
18,1,90,122,32,3,4,24,146
19,2,91,127,36,4,4,30,157
20,3,93,132,39,5,4,40,172
21,2,95,134,39,6,6,28,162
22,2,100,137,37,1,2,30,167
24,1,104,139,35,2,2,30,169
23,4,101,146,45,3,4,42,188
25,3,108,157,49,4,4,37,194
26,2,109,162,53,6,6,33,195
27,2,112,163,51,7,6,36,199
29,1,117,167,50,1,2,23,190
30,2,119,169,50,2,2,33,202
28,4,114,172,58,5,4,39,211
31,3,124,188,64,3,4,37,225
32,2,126,190,64,1,2,36,226
33,2,126,194,68,4,4,33,227
34,4,128,195,67,6,6,46,241
35,1,130,199,69,7,6,26,225
37,2,135,202,67,2,2,31,233
36,3,135,211,76,5,4,37,248
38,4,141,225,84,3,4,40,265
39,2,143,225,82,7,6,34,259
40,1,146,226,80,1,2,26,252
