group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,30,30
2,2,7,7,0,2,2,29,36
3,2,11,11,0,3,4,34,45
4,3,15,15,0,4,4,39,54
6,4,27,27,0,5,4,46,73
5,2,27,27,0,6,6,32,59
7,1,34,34,0,1,2,30,64
8,2,44,44,0,2,2,34,78
9,3,49,49,0,3,4,39,88
10,2,55,55,0,4,4,30,85
11,2,59,59,0,6,6,28,87
12,4,63,63,0,7,6,45,108
13,1,72,72,0,1,2,30,102
14,3,78,78,0,5,4,35,113
15,2,86,86,0,2,2,30,116
16,2,88,88,0,3,4,32,120
17,4,96,96,0,4,4,45,141
18,1,102,102,0,1,2,24,126
19,2,105,105,0,6,6,30,135
20,3,112,112,0,7,6,40,152
21,2,116,116,0,2,2,28,144
22,2,126,126,0,1,2,30,156
23,4,133,133,0,3,4,42,175
24,1,133,133,0,5,4,30,163
25,3,144,144,0,4,4,37,181
26,2,146,146,0,2,2,33,179
27,2,151,151,0,6,6,36,187
28,4,157,157,0,7,6,39,196
29,1,163,163,0,1,2,23,186
30,2,171,171,0,5,4,33,204
31,3,175,175,0,3,4,37,212
32,2,181,181,0,2,2,36,217
33,2,192,192,0,1,2,33,225
34,4,198,198,0,4,4,46,244
35,1,202,202,0,6,6,26,228
36,3,207,207,0,5,4,37,244
37,2,215,215,0,3,4,31,246
38,4,221,221,0,7,6,40,261
39,2,227,227,0,1,2,34,261
40,1,232,232,0,2,2,26,258
