group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,23,23
2,2,4,4,0,2,2,27,31
3,1,8,8,0,3,2,22,30
4,3,12,12,0,7,4,31,43
5,2,16,16,0,4,2,26,42
7,1,24,24,0,1,2,22,46
8,2,29,29,0,5,2,25,54
10,1,39,39,0,2,2,21,60
6,4,20,43,23,7,4,34,77
11,2,44,44,0,3,2,26,70
13,1,55,55,0,1,2,22,77
14,2,60,60,0,2,2,27,87
16,2,72,72,0,3,2,26,98
9,3,34,77,43,7,4,30,107
17,1,78,78,0,1,2,22,100
19,2,89,89,0,2,2,27,116
20,1,94,94,0,4,2,23,117
12,4,50,107,57,7,4,33,140
15,3,66,140,74,7,4,31,171
18,4,84,171,87,7,4,35,206
21,3,107,206,99,7,4,32,238
