group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,2,4,4,0,1,2,60,64
5,4,18,18,0,4,4,64,82
1,1,0,30,30,2,2,37,67
8,4,36,39,3,5,4,58,97
10,2,50,50,0,3,2,59,109
6,4,25,55,30,6,4,51,106
4,3,16,55,39,7,6,43,98
11,2,51,64,13,1,2,42,106
14,2,62,67,5,2,2,47,114
18,4,96,96,0,4,4,58,154
7,2,29,106,77,1,2,27,133
19,4,98,106,8,5,4,54,160
16,3,77,107,30,6,4,50,157
3,1,10,109,99,3,2,34,143
9,1,39,114,75,2,2,46,160
24,4,117,120,3,7,6,54,174
21,2,103,133,30,1,2,54,187
13,1,57,143,86,3,2,39,182
17,3,90,154,64,4,4,54,208
12,3,55,157,102,6,4,40,197
20,2,99,160,61,2,2,39,199
27,3,145,160,15,5,4,60,220
23,2,116,174,58,7,6,43,217
29,2,157,182,25,3,2,63,245
26,2,132,187,55,1,2,46,233
34,3,186,197,11,6,4,60,257
15,1,70,199,129,2,2,29,228
30,2,163,208,45,4,4,54,262
36,3,192,222,30,5,4,45,267
33,4,184,222,38,7,6,30,252
22,1,107,228,121,2,2,39,267
28,2,152,233,81,1,2,36,269
25,1,122,245,123,3,2,37,282
35,2,190,252,62,7,6,48,300
38,2,199,257,58,6,4,51,308
39,2,205,262,57,4,4,49,311
37,2,194,267,73,2,2,41,308
32,1,183,267,84,5,4,42,309
31,1,180,269,89,1,2,38,307
40,1,207,282,75,3,2,33,315
