group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,2,16,16,0,1,2,48,64
1,1,0,16,16,2,2,40,56
4,2,52,52,0,3,4,56,108
3,1,34,52,18,4,4,44,96
5,1,74,74,0,1,2,50,124
6,3,96,96,0,4,4,64,160
7,2,118,118,0,2,2,58,176
8,4,140,140,0,3,4,78,218
9,2,188,188,0,1,2,60,248
10,1,214,214,0,2,2,46,260
11,3,236,236,0,3,4,68,304
12,2,258,258,0,1,2,62,320
13,4,280,280,0,4,4,82,362
14,1,302,302,0,2,2,48,350
15,2,324,324,0,1,2,60,384
16,1,380,380,0,2,2,52,432
17,2,404,404,0,1,2,64,468
18,3,430,430,0,3,4,70,500
19,1,456,456,0,2,2,48,504
20,2,482,482,0,1,2,62,544
21,1,540,540,0,2,2,46,586
22,2,556,556,0,1,2,58,614
23,3,572,572,0,3,4,72,644
24,2,588,588,0,2,2,60,648
25,4,604,604,0,4,4,84,688
26,1,622,622,0,1,2,50,672
27,2,646,646,0,3,4,62,708
28,4,676,676,0,5,4,86,762
