group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,29,29
2,2,6,6,0,2,2,30,36
3,3,11,11,0,3,4,38,49
4,2,11,11,0,4,4,36,47
5,4,16,16,0,5,6,42,58
6,2,23,23,0,6,8,35,58
7,1,28,28,0,7,8,32,60
10,2,38,38,0,1,2,29,67
8,3,32,47,15,4,4,40,87
9,4,34,49,15,3,4,44,93
12,2,50,50,0,2,2,37,87
11,5,45,58,13,5,6,51,109
13,1,56,58,2,6,8,23,81
14,3,60,60,0,7,8,38,98
16,2,66,67,1,1,2,37,104
15,4,63,81,18,6,8,45,126
18,3,77,87,10,4,4,36,123
19,2,81,87,6,2,2,38,125
20,4,87,93,6,3,4,43,136
17,6,71,98,27,7,8,55,153
21,1,90,104,14,1,2,26,130
22,2,95,109,14,5,6,36,145
23,3,98,123,25,4,4,35,158
25,2,109,125,16,2,2,30,155
24,5,102,126,24,6,8,45,171
28,1,120,130,10,1,2,30,160
26,4,110,136,26,3,4,46,182
27,6,118,145,27,5,6,48,193
30,3,128,153,25,7,8,43,196
29,2,128,155,27,2,2,31,186
31,4,133,158,25,4,4,40,198
32,2,137,160,23,1,2,34,194
33,5,145,171,26,6,8,44,215
34,2,148,182,34,3,4,28,210
37,1,164,186,22,2,2,31,217
35,3,155,193,38,5,6,35,228
38,2,166,194,28,1,2,33,227
36,4,156,196,40,7,8,40,236
39,3,172,198,26,4,4,39,237
40,4,177,210,33,3,4,39,249
41,6,178,215,37,6,8,51,266
42,2,182,217,35,2,2,28,245
45,2,198,227,29,1,2,29,256
43,5,188,228,40,5,6,53,281
44,3,191,236,45,7,8,43,279
46,4,204,237,33,4,4,44,281
47,2,207,245,38,2,2,30,275
48,3,212,249,37,3,4,34,283
49,5,215,266,51,6,8,50,316
50,4,222,279,57,7,8,48,327
