group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,29,29
2,2,6,6,0,2,2,30,36
4,2,11,11,0,3,2,36,47
3,3,11,11,0,4,4,38,49
5,4,16,16,0,5,4,42,58
6,2,23,23,0,6,4,35,58
7,1,28,28,0,7,6,32,60
8,3,32,32,0,8,6,40,72
9,4,34,34,0,9,8,44,78
10,2,38,38,0,1,2,29,67
12,2,50,50,0,2,2,37,87
13,1,56,56,0,3,2,23,79
11,5,45,60,15,7,6,51,111
14,3,60,60,0,4,4,38,98
15,4,63,63,0,5,4,45,108
16,2,66,66,0,6,4,37,103
17,6,71,72,1,8,6,55,127
18,3,77,78,1,9,8,36,114
19,2,81,81,0,1,2,38,119
21,1,90,90,0,2,2,26,116
22,2,95,95,0,3,2,36,131
20,4,87,98,11,4,4,43,141
23,3,98,103,5,6,4,35,138
25,2,109,109,0,5,4,30,139
24,5,102,111,9,7,6,45,156
26,4,110,114,4,9,8,46,160
28,1,120,120,0,1,2,30,150
27,6,118,127,9,8,6,48,175
29,2,128,128,0,2,2,31,159
32,2,137,137,0,3,2,34,171
30,3,128,138,10,6,4,43,181
31,4,133,139,6,5,4,40,179
34,2,148,148,0,4,4,28,176
33,5,145,156,11,7,6,44,200
36,4,156,160,4,9,8,40,200
37,1,164,164,0,1,2,31,195
38,2,166,166,0,2,2,33,199
35,3,155,175,20,8,6,35,210
39,3,172,176,4,4,4,39,215
40,4,177,179,2,5,4,39,218
42,2,182,182,0,3,2,28,210
44,3,191,191,0,6,4,43,234
45,2,198,198,0,1,2,29,227
41,6,178,200,22,7,6,51,251
43,5,188,200,12,9,8,53,253
47,2,207,207,0,2,2,30,237
46,4,204,210,6,8,6,44,254
48,3,212,215,3,4,4,34,249
50,4,222,222,0,5,4,48,270
49,5,215,251,36,7,6,50,301
