group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,72,72,0,3,4,62,134
2,4,85,85,0,4,4,57,142
3,6,90,90,0,6,6,79,169
4,5,95,95,0,7,6,79,174
5,3,95,95,0,5,4,63,158
6,4,100,100,0,8,6,68,168
11,2,130,130,0,1,2,58,188
7,3,103,134,31,3,4,62,196
8,4,113,142,29,4,4,70,212
15,2,150,150,0,2,2,45,195
10,3,123,158,35,5,4,56,214
9,6,120,168,48,8,6,69,237
12,4,130,169,39,6,6,69,238
13,3,147,174,27,7,6,64,238
21,2,183,188,5,1,2,56,244
14,3,150,196,46,3,4,63,259
24,2,200,200,0,2,2,58,258
19,4,164,212,48,4,4,71,283
18,3,164,214,50,5,4,64,278
16,5,160,237,77,8,6,63,300
17,5,160,238,78,6,6,62,300
20,4,167,238,71,7,6,70,308
27,2,223,244,21,1,2,53,297
30,2,243,258,15,2,2,58,316
22,3,189,259,70,3,4,54,313
23,4,195,278,83,5,4,57,335
25,4,205,283,78,4,4,72,355
31,2,260,297,37,1,2,49,346
26,3,214,300,86,6,6,64,364
28,4,225,300,75,8,6,72,372
29,3,230,308,78,7,6,53,361
32,4,268,313,45,3,4,68,381
33,4,280,335,55,5,4,58,393
35,3,291,355,64,4,4,52,407
34,6,288,361,73,7,6,72,433
36,6,297,364,67,6,6,78,442
