group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,72,72,0,1,4,62,134
2,4,85,85,0,2,4,57,142
3,6,90,90,0,4,6,79,169
4,5,95,95,0,5,6,79,174
5,3,95,95,0,3,4,63,158
6,4,100,100,0,6,6,68,168
7,3,103,103,0,7,6,62,165
8,4,113,113,0,8,6,70,183
10,3,123,134,11,1,4,56,190
12,4,130,142,12,2,4,69,211
11,2,130,158,28,3,4,58,216
9,6,120,165,45,7,6,69,234
13,3,147,168,21,6,6,64,232
14,3,150,169,19,4,6,63,232
15,2,150,174,24,5,6,45,219
16,5,160,183,23,8,6,63,246
19,4,164,190,26,1,4,71,261
18,3,164,211,47,2,4,64,275
20,4,167,216,49,3,4,70,286
17,5,160,219,59,5,6,62,281
21,2,183,232,49,4,6,56,288
22,3,189,232,43,6,6,54,286
23,4,195,234,39,7,6,57,291
24,2,200,246,46,8,6,58,304
25,4,205,261,56,1,4,72,333
26,3,214,275,61,2,4,64,339
27,2,223,281,58,5,6,53,334
28,4,225,286,61,3,4,72,358
29,3,230,286,56,6,6,53,339
30,2,243,288,45,4,6,58,346
31,2,260,291,31,7,6,49,340
32,4,268,304,36,8,6,68,372
33,4,280,333,53,1,4,58,391
34,6,288,334,46,5,6,72,406
35,3,291,339,48,2,4,52,391
36,6,297,339,42,6,6,78,417
