group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,0,0,0,3,4,39,39
2,4,7,7,0,4,4,48,55
3,4,9,9,0,5,4,45,54
4,5,14,14,0,6,6,49,63
5,4,16,16,0,7,6,41,57
6,6,27,27,0,8,8,51,78
7,3,28,28,0,9,8,43,71
8,4,32,32,0,10,8,44,76
11,4,50,50,0,3,4,45,95
12,3,54,54,0,5,4,40,94
9,5,41,57,16,7,6,43,100
10,6,45,63,18,6,6,54,117
14,4,63,63,0,4,4,46,109
13,5,57,71,14,9,8,43,114
15,6,70,76,6,10,8,53,129
16,4,70,78,8,8,8,41,119
18,3,81,94,13,5,4,40,134
19,4,89,95,6,3,4,48,143
17,5,76,100,24,7,6,46,146
22,4,100,109,9,4,4,46,155
20,6,91,114,23,9,8,57,171
21,5,96,117,21,6,6,53,170
23,3,103,119,16,8,8,36,155
24,6,110,129,19,10,8,54,183
25,4,114,134,20,5,4,43,177
27,4,125,143,18,3,4,40,183
26,5,116,146,30,7,6,50,196
28,6,126,155,29,8,8,54,209
29,3,131,155,24,4,4,40,195
30,4,140,170,30,6,6,48,218
31,5,141,171,30,9,8,43,214
32,4,144,177,33,5,4,46,223
33,6,151,183,32,10,8,51,234
34,3,154,183,29,3,4,37,220
35,4,160,195,35,4,4,45,240
36,5,167,196,29,7,6,50,246
37,4,170,209,39,8,8,45,254
38,6,174,214,40,9,8,52,266
39,5,183,218,35,6,6,43,261
40,4,188,220,32,3,4,40,260
41,3,190,223,33,5,4,43,266
42,6,197,234,37,10,8,49,283
