group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,5,5,0,2,4,92,97
2,5,12,12,0,5,6,71,83
3,2,17,17,0,1,2,51,68
4,4,19,19,0,3,4,73,92
5,5,20,20,0,6,6,64,84
6,2,26,56,30,4,4,53,109
8,1,56,68,12,1,2,67,135
11,8,77,77,0,7,8,96,173
10,4,68,83,15,5,6,72,155
12,5,86,86,0,6,6,77,163
9,3,59,92,33,3,4,51,143
7,1,38,97,59,2,4,35,132
14,2,99,109,10,4,4,41,150
18,4,125,132,7,2,4,77,209
16,4,113,143,30,3,4,72,215
21,3,139,150,11,4,4,70,220
15,5,111,155,44,5,6,88,243
23,2,156,156,0,1,2,45,201
13,5,94,163,69,6,6,84,247
24,6,161,173,12,7,8,80,253
26,2,177,201,24,1,2,76,277
28,4,181,209,28,2,4,69,278
25,3,176,215,39,3,4,83,298
27,4,178,220,42,4,4,54,274
17,5,117,243,126,5,6,84,327
37,5,239,247,8,6,6,106,353
30,6,195,253,58,7,8,78,331
22,3,143,274,131,4,4,60,334
34,2,228,277,49,1,2,49,326
32,4,209,278,69,2,4,59,337
29,4,182,298,116,3,4,48,346
35,2,233,326,93,1,2,51,377
20,5,138,327,189,5,6,79,406
19,5,136,331,195,7,8,69,400
33,3,227,334,107,4,4,70,404
36,2,237,337,100,2,4,46,383
31,5,199,353,154,6,6,59,412
