group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,1,4,4,0,1,2,54,58
3,7,5,5,0,7,8,85,90
6,3,17,17,0,2,4,71,88
7,4,20,20,0,3,4,81,101
8,5,25,25,0,5,6,92,117
1,3,2,32,30,4,4,44,76
9,6,35,35,0,6,6,68,103
4,2,11,58,47,1,2,45,103
11,4,39,76,37,4,4,54,130
13,3,50,88,38,2,4,68,156
18,6,85,90,5,7,8,96,186
20,3,90,101,11,3,4,83,184
14,2,68,103,35,1,2,60,163
10,5,37,103,66,6,6,102,205
17,5,80,117,37,5,6,96,213
23,4,106,130,24,4,4,76,206
36,3,151,156,5,2,4,99,255
25,2,112,163,51,1,2,72,235
40,4,162,184,22,3,4,71,255
27,7,129,186,57,7,8,107,293
57,6,203,205,2,6,6,113,318
50,4,190,206,16,4,4,79,285
31,6,139,213,74,5,6,99,312
5,1,15,235,220,1,2,24,259
48,4,182,255,73,2,4,74,329
58,4,204,255,51,3,4,72,327
22,2,101,259,158,1,2,50,309
43,4,170,285,115,4,4,63,348
21,7,94,293,199,7,8,82,375
32,2,143,309,166,1,2,56,365
24,6,109,312,203,5,6,80,392
19,5,89,318,229,6,6,89,407
51,4,191,327,136,3,4,67,394
47,4,181,329,148,2,4,64,393
64,4,215,348,133,4,4,72,420
26,2,122,365,243,1,2,44,409
44,6,171,375,204,7,8,86,461
30,6,137,392,255,5,6,79,471
35,3,150,393,243,2,4,69,462
28,3,131,394,263,3,4,62,456
45,6,173,407,234,6,6,85,492
37,2,157,409,252,1,2,57,466
72,4,237,420,183,4,4,73,493
39,4,161,456,295,3,4,50,506
62,5,212,461,249,7,8,106,567
69,4,225,462,237,2,4,66,528
53,2,193,466,273,1,2,67,533
15,5,73,471,398,5,6,76,547
16,5,75,492,417,6,6,76,568
42,3,169,493,324,4,4,69,562
29,3,134,506,372,3,4,57,563
56,3,202,528,326,2,4,69,597
68,2,224,533,309,1,2,81,614
66,6,221,547,326,5,6,86,633
52,3,192,562,370,4,4,56,618
38,2,159,563,404,3,4,42,605
33,5,144,567,423,7,8,74,641
12,5,47,568,521,6,6,54,622
41,2,168,597,429,2,4,42,639
34,1,148,605,457,3,4,58,663
60,2,208,614,406,1,2,55,669
59,3,205,618,413,4,4,38,656
65,5,219,622,403,6,6,84,706
67,5,223,633,410,5,6,82,715
55,2,195,639,444,2,4,40,679
54,5,194,641,447,7,8,74,715
46,1,174,656,482,4,4,58,714
63,2,214,663,449,3,4,48,711
49,1,189,669,480,1,2,50,719
70,5,229,706,477,6,6,70,776
61,5,209,715,506,5,6,63,778
71,5,230,715,485,7,8,59,774
