group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,29,29
2,2,7,7,0,2,2,38,45
3,2,9,9,0,3,4,35,44
4,1,14,14,0,4,4,29,43
5,2,16,16,0,5,4,31,47
6,3,27,27,0,6,6,36,63
7,2,28,28,0,7,6,38,66
8,2,32,32,0,1,2,34,66
9,1,41,41,0,8,8,23,64
10,4,45,45,0,3,4,44,89
11,2,50,50,0,2,2,35,85
12,3,54,54,0,4,4,40,94
13,2,57,57,0,5,4,28,85
14,1,63,63,0,6,6,31,94
15,2,70,70,0,1,2,33,103
16,2,70,70,0,7,6,31,101
17,3,76,76,0,8,8,36,112
18,2,81,81,0,9,8,35,116
19,1,89,89,0,2,2,33,122
20,4,91,91,0,3,4,47,138
21,2,96,96,0,4,4,38,134
22,2,100,100,0,5,4,36,136
23,3,103,103,0,6,6,36,139
24,2,110,110,0,1,2,34,144
25,1,114,114,0,7,6,28,142
26,2,116,116,0,8,8,35,151
27,3,125,125,0,9,8,35,160
28,2,126,126,0,2,2,34,160
29,2,131,131,0,10,8,35,166
30,1,140,140,0,3,4,33,173
31,4,141,141,0,4,4,38,179
32,2,144,144,0,1,2,36,180
33,2,151,151,0,5,4,31,182
34,3,154,154,0,6,6,37,191
35,1,160,160,0,2,2,30,190
36,2,167,167,0,7,6,35,202
37,2,170,170,0,8,8,35,205
38,3,174,174,0,3,4,37,211
39,2,183,183,0,1,2,28,211
40,1,188,188,0,4,4,25,213
41,3,190,190,0,5,4,43,233
42,2,197,197,0,2,2,29,226
