group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,2,5,35,30,1,2,21,56
6,2,24,54,30,2,2,30,84
3,2,10,54,44,3,2,19,73
5,2,19,54,35,4,2,19,73
1,1,3,56,53,1,2,21,77
12,5,58,61,3,7,6,36,97
10,3,40,70,30,5,4,30,100
7,2,29,73,44,3,2,23,96
4,1,18,73,55,4,2,13,86
9,1,36,77,41,1,2,23,100
14,3,65,93,28,6,4,35,128
8,3,31,97,66,7,6,17,114
19,2,75,105,30,1,2,29,134
13,2,64,105,41,2,2,23,128
18,2,72,105,33,3,2,27,132
11,1,48,105,57,4,2,24,129
16,2,69,105,36,5,4,18,123
15,1,66,114,48,7,6,17,131
17,1,71,123,52,5,4,22,145
22,2,93,128,35,2,2,21,149
20,1,80,129,49,4,2,19,148
28,2,121,151,30,1,2,28,179
21,1,84,151,67,2,2,12,163
23,1,96,151,55,3,2,21,172
25,1,107,151,44,4,2,31,182
24,1,103,163,60,2,2,22,185
36,3,141,171,30,5,4,38,209
30,3,124,171,47,6,4,31,202
29,3,122,171,49,7,6,19,190
33,2,136,172,36,3,2,26,198
32,2,134,179,45,1,2,23,202
27,1,120,182,62,4,2,26,208
31,2,130,185,55,2,2,18,203
26,1,118,190,72,7,6,21,211
37,2,149,198,49,3,2,26,224
40,2,161,202,41,1,2,30,232
38,2,153,202,49,6,4,24,226
34,1,138,203,65,2,2,24,227
35,1,140,208,68,4,2,23,231
42,2,173,209,36,5,4,24,233
39,2,156,211,55,7,6,15,226
45,2,179,224,45,3,2,23,247
43,1,175,226,51,6,4,28,254
41,1,165,226,61,7,6,14,240
44,1,178,227,49,2,2,21,248
