group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,2,12,42,30,1,2,17,59
1,1,0,42,42,2,2,14,56
4,2,35,59,24,1,2,18,77
3,1,24,59,35,2,2,15,74
5,3,47,72,25,5,4,20,92
7,2,72,88,16,1,2,17,105
6,1,59,89,30,2,2,14,103
8,1,88,118,30,1,2,15,133
9,2,110,133,23,1,2,18,151
11,2,135,162,27,1,2,17,179
10,1,122,162,40,2,2,14,176
12,3,148,176,28,5,4,20,196
15,4,192,192,0,6,4,24,216
14,2,176,196,20,1,2,18,214
13,1,162,196,34,2,2,15,211
17,2,225,255,30,1,2,18,273
16,1,208,255,47,2,2,14,269
19,2,237,267,30,3,2,17,284
18,1,231,267,36,4,2,14,281
22,2,255,285,30,1,2,18,303
23,4,261,291,30,5,4,24,315
20,3,243,291,48,6,4,20,311
24,2,268,298,30,2,2,18,316
21,1,249,298,49,3,2,15,313
26,2,280,310,30,1,2,17,327
25,1,274,310,36,4,2,14,324
29,2,298,328,30,1,2,18,346
30,4,304,334,30,5,4,25,359
27,3,286,334,48,6,4,21,355
31,2,311,341,30,2,2,18,359
28,1,292,341,49,3,2,15,356
33,2,323,353,30,1,2,17,370
32,1,317,353,36,4,2,14,367
36,2,341,365,24,2,2,18,383
38,2,354,377,23,1,2,19,396
35,1,335,377,42,3,2,15,392
37,4,347,377,30,5,4,24,401
34,3,329,377,48,6,4,20,397
40,2,366,390,24,2,2,18,408
39,1,360,390,30,4,2,14,404
43,2,384,408,24,1,2,18,426
42,1,378,408,30,2,2,15,423
44,4,390,420,30,5,4,25,445
41,3,372,420,48,6,4,21,441
46,2,430,454,24,1,2,17,471
45,1,418,454,36,2,2,14,468
48,2,454,472,18,1,2,18,490
47,1,442,472,30,2,2,15,487
49,3,466,487,21,5,4,20,507
51,2,490,502,12,1,2,18,520
50,1,478,508,30,2,2,14,522
53,2,514,522,8,1,2,19,541
52,1,502,532,30,2,2,15,547
54,3,526,556,30,5,4,20,576
55,2,545,575,30,1,2,18,593
58,2,563,593,30,1,2,19,612
56,1,551,593,42,2,2,14,607
60,4,575,605,30,5,4,24,629
57,3,557,605,48,6,4,21,626
61,2,582,612,30,1,2,18,630
59,1,569,612,43,2,2,15,627
64,2,603,633,30,1,2,19,652
62,1,589,633,44,2,2,14,647
66,4,617,647,30,5,4,25,672
63,3,596,647,51,6,4,22,669
67,2,624,654,30,1,2,18,672
65,1,610,654,44,2,2,15,669
72,4,659,667,8,7,4,24,691
69,3,638,669,31,6,4,21,690
70,2,645,675,30,1,2,19,694
68,1,631,675,44,2,2,14,689
73,2,667,697,30,1,2,18,715
71,1,652,697,45,2,2,15,712
75,3,684,714,30,5,4,22,736
76,2,694,720,26,1,2,19,739
74,1,675,720,45,2,2,14,734
78,2,712,720,8,3,2,18,738
80,2,720,720,0,4,2,17,737
77,1,705,720,15,6,4,15,735
79,1,718,734,16,2,2,14,748
