group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,2,0,0,0,1,2,18,18
1,3,0,0,0,5,4,28,28
3,3,5,5,0,6,4,31,36
5,2,20,20,0,1,2,19,39
6,2,20,20,0,2,2,17,37
4,1,20,20,0,3,2,16,36
7,1,20,20,0,4,2,16,36
8,1,22,22,0,7,4,22,44
9,2,24,28,4,5,4,26,54
10,2,25,36,11,3,2,17,53
11,1,39,39,0,1,2,22,61
12,2,45,45,0,2,2,17,62
13,2,50,50,0,4,2,20,70
14,2,52,52,0,6,4,19,71
15,1,53,53,0,3,2,18,71
16,2,59,59,0,5,4,25,84
17,1,60,60,0,7,4,20,80
20,2,64,64,0,1,2,18,82
21,1,64,64,0,2,2,18,82
22,2,65,70,5,4,2,23,93
18,3,61,71,10,6,4,21,92
24,2,66,71,5,3,2,27,98
19,3,63,80,17,7,4,26,106
25,2,70,82,12,1,2,25,107
26,2,70,82,12,2,2,24,106
23,4,65,84,19,5,4,32,116
27,2,73,92,19,6,4,26,118
31,2,76,93,17,4,2,27,120
28,1,75,98,23,3,2,17,115
29,1,75,106,31,2,2,20,126
30,1,75,106,31,7,4,23,129
33,1,81,107,26,1,2,16,123
34,2,83,115,32,3,2,22,137
32,4,80,116,36,5,4,26,142
35,2,83,118,35,6,4,21,139
36,2,90,120,30,4,2,17,137
37,2,90,123,33,1,2,22,145
38,2,91,126,35,2,2,18,144
39,4,94,129,35,7,4,30,159
41,2,100,137,37,3,2,21,158
42,2,103,137,34,4,2,17,154
40,3,95,139,44,6,4,29,168
43,2,105,142,37,5,4,19,161
45,1,115,144,29,2,2,20,164
46,1,116,145,29,1,2,21,166
47,1,120,154,34,4,2,20,174
48,2,125,158,33,3,2,22,180
44,4,109,159,50,7,4,26,185
49,2,125,161,36,5,4,26,187
50,2,126,164,38,2,2,25,189
51,1,126,166,40,1,2,22,188
52,2,129,168,39,6,4,24,192
54,2,130,174,44,4,2,20,194
53,1,129,180,51,3,2,22,202
55,1,133,185,52,7,4,22,207
56,2,135,187,52,5,4,17,204
59,1,150,188,38,1,2,16,204
61,2,160,189,29,2,2,21,210
58,4,145,192,47,6,4,31,223
62,1,163,194,31,4,2,16,210
63,2,165,202,37,3,2,26,228
57,3,145,204,59,5,4,25,229
65,2,170,204,34,1,2,21,225
60,3,152,207,55,7,4,26,233
66,2,178,210,32,2,2,17,227
67,2,180,210,30,4,2,23,233
64,4,167,223,56,6,4,29,252
68,2,183,225,42,1,2,23,248
71,2,190,227,37,2,2,22,249
73,2,190,228,38,3,2,19,247
69,4,187,229,42,5,4,30,259
70,3,188,233,45,7,4,25,258
72,1,190,233,43,4,2,21,254
74,2,194,247,53,3,2,25,272
75,2,198,248,50,1,2,24,272
76,2,200,249,49,2,2,24,273
77,2,200,252,52,6,4,21,273
78,2,208,254,46,4,2,23,277
79,1,212,258,46,7,4,20,278
81,4,215,259,44,5,4,34,293
80,1,215,272,57,1,2,18,290
82,1,225,272,47,3,2,21,293
83,3,227,273,46,6,4,23,296
84,2,230,273,43,2,2,23,296
85,1,237,277,40,4,2,21,298
86,1,237,278,41,7,4,22,300
87,2,240,290,50,1,2,23,313
89,2,245,293,48,3,2,17,310
88,1,244,293,49,5,4,20,313
90,3,248,296,48,6,4,28,324
92,2,255,296,41,2,2,17,313
93,2,255,298,43,4,2,21,319
91,3,249,300,51,7,4,25,325
95,2,261,310,49,3,2,27,337
94,1,260,313,53,1,2,20,333
96,3,265,313,48,5,4,24,337
97,2,280,313,33,2,2,23,336
98,1,282,319,37,4,2,15,334
99,2,295,324,29,6,4,22,346
100,1,295,325,30,7,4,21,346
