group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,2,0,0,0,1,2,18,18
1,3,0,0,0,6,4,28,28
3,3,5,5,0,7,4,31,36
5,2,20,20,0,1,2,19,39
6,2,20,20,0,2,2,17,37
4,1,20,20,0,3,2,16,36
7,1,20,20,0,4,2,16,36
8,1,22,22,0,5,2,22,44
9,2,24,24,0,8,4,26,50
10,2,25,25,0,9,4,17,42
11,1,39,39,0,1,2,22,61
12,2,45,45,0,2,2,17,62
13,2,50,50,0,3,2,20,70
14,2,52,52,0,4,2,19,71
15,1,53,53,0,5,2,18,71
16,2,59,59,0,6,4,25,84
17,1,60,60,0,7,4,20,80
18,3,61,61,0,8,4,21,82
19,3,63,63,0,9,4,26,89
20,2,64,64,0,1,2,18,82
21,1,64,64,0,2,2,18,82
22,2,65,70,5,3,2,23,93
24,2,66,71,5,4,2,27,98
25,2,70,71,1,5,2,25,96
23,4,65,80,15,7,4,32,112
26,2,70,82,12,1,2,24,106
27,2,73,82,9,2,2,26,108
31,2,76,82,6,8,4,27,109
28,1,75,84,9,6,4,17,101
29,1,75,89,14,9,4,20,109
30,1,75,93,18,3,2,23,116
34,2,83,96,13,5,2,22,118
35,2,83,98,15,4,2,21,119
32,4,80,101,21,6,4,26,127
33,1,81,106,25,1,2,16,122
36,2,90,108,18,2,2,17,125
37,2,90,109,19,8,4,22,131
38,2,91,109,18,9,4,18,127
39,4,94,112,18,7,4,30,142
41,2,100,116,16,3,2,21,137
42,2,103,118,15,5,2,17,135
43,2,105,119,14,4,2,19,138
45,1,115,122,7,1,2,20,142
46,1,116,125,9,2,2,21,146
40,3,95,127,32,6,4,29,156
44,4,109,127,18,9,4,26,153
47,1,120,131,11,8,4,20,151
48,2,125,135,10,5,2,22,157
49,2,125,137,12,3,2,26,163
50,2,126,138,12,4,2,25,163
51,1,126,142,16,1,2,22,164
52,2,129,142,13,7,4,24,166
54,2,130,146,16,2,2,20,166
53,1,129,151,22,8,4,22,173
55,1,133,153,20,9,4,22,175
56,2,135,156,21,6,4,17,173
59,1,150,157,7,5,2,16,173
61,2,160,163,3,3,2,21,184
62,1,163,163,0,4,2,16,179
63,2,165,165,0,1,2,26,191
58,4,145,166,21,7,4,31,197
65,2,170,170,0,2,2,21,191
57,3,145,173,28,6,4,25,198
60,3,152,173,21,8,4,26,199
64,4,167,175,8,9,4,29,204
66,2,178,178,0,5,2,17,195
67,2,180,180,0,4,2,23,203
68,2,183,184,1,3,2,23,207
71,2,190,191,1,1,2,22,213
73,2,190,191,1,2,2,19,210
72,1,190,195,5,5,2,21,216
69,4,187,197,10,7,4,30,227
70,3,188,198,10,6,4,25,223
74,2,194,199,5,8,4,25,224
75,2,198,203,5,4,2,24,227
76,2,200,204,4,9,4,24,228
77,2,200,207,7,3,2,21,228
78,2,208,210,2,2,2,23,233
79,1,212,213,1,1,2,20,233
80,1,215,216,1,5,2,18,234
81,4,215,223,8,6,4,34,257
82,1,225,225,0,8,4,21,246
83,3,227,227,0,7,4,23,250
84,2,230,230,0,3,2,23,253
85,1,237,237,0,1,2,21,258
86,1,237,237,0,2,2,22,259
87,2,240,240,0,4,2,23,263
88,1,244,244,0,5,2,20,264
89,2,245,245,0,9,4,17,262
90,3,248,248,0,8,4,28,276
91,3,249,250,1,7,4,25,275
92,2,255,255,0,3,2,17,272
93,2,255,257,2,6,4,21,278
94,1,260,260,0,1,2,20,280
95,2,261,261,0,2,2,27,288
96,3,265,265,0,9,4,24,289
97,2,280,280,0,1,2,23,303
98,1,282,282,0,3,2,15,297
99,2,295,295,0,2,2,22,317
100,1,295,295,0,4,2,21,316
