group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
4,2,4,34,30,1,2,20,54
2,2,1,34,33,2,2,18,52
7,2,9,39,30,3,2,19,58
8,4,10,40,30,6,4,26,66
10,2,14,44,30,4,2,18,62
13,2,19,49,30,5,2,20,69
14,4,21,51,30,7,4,28,79
1,1,0,52,52,2,2,16,68
3,1,3,54,51,1,2,15,69
16,2,25,58,33,3,2,18,76
6,1,7,62,55,4,2,16,78
5,3,6,66,60,6,4,24,90
9,1,12,68,56,2,2,17,85
19,2,33,69,36,1,2,19,88
12,1,17,69,52,5,2,15,84
21,2,39,76,37,3,2,18,94
15,1,23,78,55,4,2,16,94
22,4,42,79,37,7,4,27,106
18,1,30,84,54,5,2,15,99
20,1,36,85,49,2,2,16,101
11,3,15,90,75,6,4,25,115
17,3,27,106,79,7,4,24,130
