group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,20,20,0,1,4,67,87
2,5,20,20,0,7,6,78,98
3,4,28,28,0,2,4,75,103
4,4,59,59,0,3,4,68,127
5,4,65,65,0,4,4,66,131
6,3,80,80,0,5,4,62,142
7,4,83,83,0,6,4,67,150
8,3,83,83,0,8,6,67,150
9,3,87,87,0,1,4,55,142
10,4,95,95,0,9,6,60,155
11,4,95,98,3,7,6,62,160
12,2,100,103,3,2,4,56,159
13,3,107,127,20,3,4,60,187
16,4,145,145,0,1,4,68,213
14,5,134,150,16,8,6,75,225
17,4,150,150,0,4,4,74,224
15,6,140,155,15,9,6,79,234
18,5,155,160,5,7,6,84,244
19,3,160,160,0,2,4,70,230
20,4,165,165,0,5,4,73,238
21,4,168,168,0,6,4,60,228
22,2,171,187,16,3,4,52,239
23,3,175,213,38,1,4,67,280
24,4,180,224,44,4,4,71,295
25,4,185,225,40,8,6,58,283
26,3,185,228,43,6,4,65,293
28,2,216,230,14,2,4,56,286
27,6,195,234,39,9,6,91,325
29,4,225,238,13,5,4,73,311
31,2,231,239,8,3,4,53,292
30,5,230,244,14,7,6,82,326
33,4,245,280,35,1,4,67,347
32,6,235,283,48,8,6,90,373
34,2,247,286,39,2,4,54,340
35,4,270,292,22,3,4,70,362
36,3,280,293,13,6,4,67,360
37,4,283,295,12,4,4,72,367
