group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,20,20,0,1,4,67,87
2,5,20,20,0,4,6,78,98
3,4,28,28,0,2,4,75,103
4,4,59,59,0,3,4,68,127
5,4,65,65,0,5,6,66,131
6,3,80,80,0,6,6,62,142
7,4,83,83,0,7,6,67,150
8,3,83,83,0,8,6,67,150
9,3,87,87,0,1,4,55,142
10,4,95,98,3,4,6,60,158
11,4,95,103,8,2,4,62,165
12,2,100,127,27,3,4,56,183
13,3,107,131,24,5,6,60,191
14,5,134,142,8,6,6,75,217
16,4,145,145,0,1,4,68,213
15,6,140,150,10,7,6,79,229
17,4,150,150,0,8,6,74,224
18,5,155,158,3,4,6,84,242
19,3,160,165,5,2,4,70,235
20,4,165,183,18,3,4,73,256
21,4,168,191,23,5,6,60,251
22,2,171,213,42,1,4,52,265
23,3,175,217,42,6,6,67,284
24,4,180,224,44,8,6,71,295
25,4,185,229,44,7,6,58,287
26,3,185,235,50,2,4,65,300
27,6,195,242,47,4,6,91,333
28,2,216,251,35,5,6,56,307
29,4,225,256,31,3,4,73,329
31,2,231,265,34,1,4,53,318
30,5,230,284,54,6,6,82,366
32,6,235,287,52,7,6,90,377
33,4,245,295,50,8,6,67,362
34,2,247,300,53,2,4,54,354
35,4,270,307,37,5,6,70,377
36,3,280,318,38,1,4,67,385
37,4,283,329,46,3,4,72,401
