group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,2,2,0,1,2,20,22
2,2,3,3,0,2,4,27,30
3,2,9,9,0,3,4,24,33
4,1,11,11,0,4,4,26,37
5,2,15,15,0,5,4,24,39
6,3,16,16,0,6,6,32,48
7,2,23,23,0,1,2,26,49
8,1,24,30,6,2,4,24,54
9,4,30,33,3,3,4,30,63
10,2,31,37,6,4,4,30,67
11,2,35,39,4,5,4,30,69
13,3,41,48,7,6,6,28,76
12,1,40,49,9,1,2,26,75
14,2,46,54,8,2,4,28,82
16,4,51,63,12,3,4,33,96
15,2,50,67,17,4,4,29,96
17,1,56,69,13,5,4,26,95
18,2,59,75,16,1,2,24,99
19,2,62,76,14,6,6,23,99
20,3,65,82,17,2,4,26,108
21,2,71,95,24,5,4,24,119
23,4,77,96,19,3,4,38,134
22,1,76,96,20,4,4,25,121
24,2,80,99,19,1,2,25,124
25,2,85,99,14,6,6,30,129
26,3,88,108,20,2,4,34,142
27,1,90,119,29,5,4,20,139
28,2,96,121,25,4,4,29,150
29,2,99,124,25,1,2,28,152
30,4,101,129,28,6,6,37,166
31,3,103,134,31,3,4,27,161
32,2,110,139,29,5,4,25,164
33,1,113,142,29,2,4,19,161
34,2,116,150,34,4,4,27,177
35,2,118,152,34,1,2,28,180
36,3,121,161,40,2,4,29,190
37,4,128,161,33,3,4,38,199
38,2,130,164,34,5,4,28,192
39,1,133,166,33,6,6,24,190
40,2,138,177,39,4,4,28,205
42,2,143,180,37,1,2,24,204
41,3,141,190,49,2,4,28,218
43,1,148,190,42,6,6,23,213
44,2,149,192,43,5,4,25,217
45,3,155,199,44,3,4,27,226
47,2,159,204,45,1,2,26,230
46,4,159,205,46,4,4,33,238
48,2,166,213,47,6,6,28,241
