group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,1,2,36,36
2,2,3,3,0,2,2,36,39
3,1,6,6,0,3,4,31,37
4,3,9,9,0,4,4,39,48
5,2,16,16,0,5,4,35,51
6,4,20,20,0,6,6,41,61
7,2,21,21,0,7,6,28,49
8,1,27,27,0,8,8,29,56
10,2,33,36,3,1,2,31,67
9,3,30,37,7,3,4,39,76
11,2,34,39,5,2,2,36,75
12,4,40,48,8,4,4,44,92
13,1,43,49,6,7,6,28,77
15,3,48,51,3,5,4,34,85
14,2,47,56,9,8,8,38,94
16,2,53,61,8,6,6,38,99
18,2,61,67,6,1,2,36,103
19,1,62,75,13,2,2,23,98
20,3,68,76,8,3,4,43,119
17,5,58,77,19,7,6,53,130
21,2,69,85,16,5,4,31,116
23,4,76,92,16,4,4,40,132
22,2,75,94,19,8,8,37,131
24,2,82,98,16,2,2,36,134
25,1,84,99,15,6,6,23,122
27,2,93,103,10,1,2,36,139
26,3,86,116,30,5,4,43,159
29,2,98,119,21,3,4,33,152
28,5,96,122,26,6,6,44,166
30,1,100,130,30,7,6,29,159
31,3,104,131,27,8,8,40,171
32,2,108,132,24,4,4,32,164
34,2,115,134,19,2,2,35,169
35,1,118,139,21,1,2,29,168
33,4,112,152,40,3,4,46,198
36,3,122,159,37,5,4,43,202
37,2,128,159,31,7,6,32,191
39,4,131,164,33,4,4,39,203
38,2,130,166,36,6,6,30,196
40,1,136,168,32,1,2,23,191
42,2,144,169,25,2,2,31,200
41,3,142,171,29,8,8,37,208
44,2,150,191,41,1,2,32,223
43,5,149,191,42,7,6,49,240
45,1,152,196,44,6,6,26,222
46,2,158,198,40,3,4,32,230
49,2,168,200,32,2,2,38,238
47,3,161,202,41,5,4,41,243
48,4,164,203,39,4,4,44,247
50,5,170,208,38,8,8,46,254
51,3,176,222,46,6,6,35,257
52,2,178,223,45,1,2,28,251
53,4,182,230,48,3,4,41,271
55,2,188,238,50,2,2,28,266
54,1,188,240,52,7,6,23,263
56,3,191,243,52,5,4,40,283
57,4,195,247,52,4,4,44,291
58,2,201,251,50,1,2,29,280
