group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,2,2,0,1,2,51,53
2,4,4,4,0,2,4,58,62
3,2,13,13,0,3,4,46,59
4,3,15,15,0,4,4,57,72
5,4,19,19,0,5,6,55,74
6,5,29,29,0,6,6,66,95
7,2,35,35,0,7,8,44,79
8,4,37,37,0,8,8,59,96
9,6,42,42,0,9,8,75,117
11,2,53,53,0,1,2,45,98
10,3,49,59,10,3,4,48,107
12,4,57,62,5,2,4,63,125
14,2,69,72,3,4,4,48,120
13,5,66,74,8,5,6,63,137
15,3,74,79,5,7,8,52,131
16,4,80,95,15,6,6,60,155
17,6,88,96,8,8,8,71,167
18,2,91,98,7,1,2,45,143
19,4,94,107,13,3,4,58,165
20,5,101,117,16,9,8,61,178
21,3,107,120,13,4,4,53,173
22,2,110,125,15,2,4,46,171
24,6,122,131,9,7,8,70,201
23,4,121,137,16,5,6,57,194
28,2,148,148,0,1,2,55,203
25,3,127,155,28,6,6,55,210
26,4,132,165,33,3,4,58,223
27,5,140,167,27,8,8,57,224
30,4,153,171,18,2,4,59,230
29,3,152,173,21,4,4,53,226
31,6,161,178,17,9,8,66,244
32,2,164,194,30,5,6,56,250
33,4,170,201,31,7,8,61,262
37,2,190,203,13,1,2,47,250
34,5,177,210,33,6,6,60,270
35,3,181,223,42,3,4,53,276
36,4,187,224,37,8,8,55,279
40,4,211,226,15,4,4,62,288
41,3,212,230,18,2,4,51,281
38,6,201,244,43,9,8,75,319
39,5,202,250,48,5,6,67,317
42,2,218,250,32,1,2,52,302
