group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,4,2,21,21
2,1,5,5,0,1,1,25,30
3,4,8,8,0,8,4,37,45
4,2,22,22,0,4,2,20,42
5,1,22,22,0,2,1,19,41
6,2,30,30,0,5,2,25,55
7,4,35,35,0,9,4,38,73
8,2,36,36,0,6,2,23,59
9,1,40,40,0,1,1,18,58
10,1,40,40,0,3,1,21,61
11,2,53,53,0,4,2,30,83
12,2,57,57,0,5,2,25,82
13,2,60,60,0,6,2,23,83
14,1,64,64,0,1,1,24,88
15,2,65,65,0,7,2,25,90
16,1,70,70,0,2,1,22,92
17,1,70,70,0,3,1,17,87
18,2,73,73,0,8,4,25,98
19,2,79,79,0,9,4,25,104
21,2,90,90,0,4,2,21,111
22,1,95,95,0,1,1,21,116
20,3,86,98,12,8,4,34,132
23,2,100,100,0,5,2,20,120
25,1,100,100,0,2,1,23,123
26,1,101,101,0,3,1,17,118
24,3,100,104,4,9,4,32,136
29,1,109,109,0,6,2,19,128
30,1,125,125,0,1,1,18,143
31,1,125,125,0,2,1,21,146
32,1,125,125,0,3,1,19,144
33,2,126,126,0,4,2,24,150
34,2,128,128,0,5,2,21,149
35,2,130,130,0,6,2,28,158
36,1,131,131,0,7,2,22,153
27,3,104,132,28,8,4,27,159
28,3,104,136,32,9,4,29,165
37,1,135,143,8,1,1,19,162
38,1,135,144,9,3,1,25,169
39,2,144,149,5,5,2,28,177
40,2,144,150,6,4,2,27,177
41,2,146,153,7,7,2,27,180
44,1,155,155,0,2,1,25,180
45,2,156,158,2,6,2,25,183
42,4,147,159,12,8,4,31,190
43,3,153,165,12,9,4,25,190
51,1,167,167,0,1,1,21,188
53,1,168,169,1,3,1,19,188
47,2,160,177,17,4,2,27,204
48,2,164,177,13,5,2,19,196
49,2,164,180,16,7,2,29,209
54,1,170,180,10,2,1,24,204
52,2,168,183,15,6,2,24,207
57,1,170,188,18,1,1,25,213
59,1,171,188,17,3,1,24,212
46,3,160,190,30,8,4,33,223
50,4,165,190,25,9,4,29,219
56,2,170,196,26,5,2,20,216
58,2,171,204,33,4,2,26,230
63,1,186,204,18,2,1,24,228
60,2,175,207,32,6,2,28,235
61,2,180,209,29,7,2,24,233
64,1,190,212,22,3,1,23,235
69,1,205,213,8,1,1,22,235
62,2,180,216,36,5,2,24,240
55,3,170,219,49,9,4,32,251
67,4,200,223,23,8,4,39,262
75,1,225,228,3,2,1,19,247
65,2,199,230,31,4,2,26,256
66,2,200,233,33,7,2,22,255
68,2,200,235,35,6,2,21,256
77,1,232,235,3,1,1,25,260
78,1,233,235,2,3,1,21,256
70,2,205,240,35,5,2,25,265
79,1,235,247,12,2,1,22,269
71,2,210,251,41,9,4,22,273
72,2,215,255,40,7,2,19,274
81,2,235,256,21,4,2,28,284
82,1,236,256,20,3,1,22,278
84,2,250,256,6,6,2,24,280
85,1,250,260,10,1,1,19,279
73,3,216,262,46,8,4,27,289
86,1,265,265,0,5,2,20,285
87,1,271,271,0,2,1,18,289
74,4,223,273,50,9,4,28,301
88,1,275,275,0,7,2,20,295
89,2,281,281,0,6,2,30,311
92,2,285,285,0,4,2,22,307
91,1,285,285,0,1,1,25,310
93,2,286,286,0,5,2,22,308
76,4,230,289,59,8,4,31,320
94,2,288,295,7,7,2,29,324
80,3,235,301,66,9,4,33,334
95,2,294,307,13,4,2,20,327
83,3,239,320,81,8,4,33,353
90,4,283,334,51,9,4,37,371
96,4,298,353,55,8,4,37,390
