group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,2,2,21,21
2,1,5,5,0,1,1,25,30
3,4,8,8,0,5,4,37,45
4,2,22,22,0,2,2,20,42
5,1,22,22,0,3,2,19,41
6,2,30,30,0,4,2,25,55
7,4,35,35,0,6,4,38,73
8,2,36,36,0,7,4,23,59
9,1,40,40,0,1,1,18,58
10,1,40,40,0,8,4,21,61
11,2,53,53,0,2,2,30,83
12,2,57,57,0,3,2,25,82
13,2,60,60,0,4,2,23,83
14,1,64,64,0,1,1,24,88
15,2,65,65,0,5,4,25,90
16,1,70,70,0,7,4,22,92
17,1,70,70,0,8,4,17,87
18,2,73,73,0,6,4,25,98
19,2,79,82,3,3,2,25,107
20,3,86,87,1,8,4,34,121
21,2,90,90,0,2,2,21,111
22,1,95,95,0,1,1,21,116
23,2,100,100,0,4,2,20,120
24,3,100,100,0,5,4,32,132
25,1,100,100,0,6,4,23,123
26,1,101,101,0,7,4,17,118
29,1,109,109,0,3,2,19,128
27,3,104,118,14,7,4,27,145
28,3,104,121,17,8,4,29,150
30,1,125,125,0,1,1,18,143
31,1,125,125,0,2,2,21,146
32,1,125,125,0,4,2,19,144
33,2,126,126,0,6,4,24,150
34,2,128,128,0,3,2,21,149
35,2,130,132,2,5,4,28,160
36,1,131,143,12,1,1,22,165
37,1,135,144,9,4,2,19,163
38,1,135,145,10,7,4,25,170
39,2,144,146,2,2,2,28,174
40,2,144,149,5,3,2,27,176
42,4,147,150,3,6,4,31,181
41,2,146,150,4,8,4,27,177
43,3,153,160,7,5,4,25,185
45,2,156,163,7,4,2,25,188
44,1,155,165,10,1,1,25,190
46,3,160,170,10,7,4,33,203
47,2,160,174,14,2,2,27,201
48,2,164,176,12,3,2,19,195
50,4,165,177,12,8,4,29,206
49,2,164,181,17,6,4,29,210
51,1,167,185,18,5,4,21,206
52,2,168,188,20,4,2,24,212
53,1,168,190,22,1,1,19,209
56,2,170,195,25,3,2,20,215
58,2,171,201,30,2,2,26,227
55,3,170,203,33,7,4,32,235
54,1,170,206,36,5,4,24,230
57,1,170,206,36,8,4,25,231
59,1,171,209,38,1,1,24,233
60,2,175,210,35,6,4,28,238
61,2,180,212,32,4,2,24,236
62,2,180,215,35,3,2,24,239
63,1,186,227,41,2,2,24,251
64,1,190,230,40,5,4,23,253
67,4,200,231,31,8,4,39,270
69,1,205,233,28,1,1,22,255
65,2,199,235,36,7,4,26,261
66,2,200,236,36,4,2,22,258
68,2,200,238,38,6,4,21,259
70,2,205,239,34,3,2,25,264
71,2,210,251,41,2,2,22,273
72,2,215,253,38,5,4,19,272
75,1,225,255,30,1,1,19,274
77,1,232,258,26,4,2,25,283
73,3,216,259,43,6,4,27,286
74,4,223,261,38,7,4,28,289
78,1,233,264,31,3,2,21,285
76,4,230,270,40,8,4,31,301
80,3,235,272,37,5,4,33,305
81,2,235,273,38,2,2,28,301
79,1,235,274,39,1,1,22,296
82,1,236,283,47,4,2,22,305
84,2,250,285,35,3,2,24,309
83,3,239,286,47,6,4,33,319
85,1,250,289,39,7,4,19,308
86,1,265,296,31,1,1,20,316
87,1,271,301,30,2,2,18,319
88,1,275,301,26,8,4,20,321
89,2,281,305,24,4,2,30,335
90,4,283,305,22,5,4,37,342
92,2,285,308,23,7,4,22,330
93,2,286,309,23,3,2,22,331
91,1,285,316,31,1,1,25,341
94,2,288,319,31,2,2,29,348
95,2,294,319,25,6,4,20,339
96,4,298,321,23,8,4,37,358
