source_file,scenario_name,actual_log_file,avg_wait,max_wait,median_wait,groups_served,seat_util,true_seat_util,service_level_15,max_queue_length,avg_queue_length,fairness_gap,total_seats,end_time
size_seating_log_cafe_lunch_A.csv,cafe_lunch_A,size_seating_log_cafe_lunch_A.csv,13.23,53.0,9.5,56,83.38,72.38,64.29,5,2.08,25.7,24,356
size_seating_log_cafe_lunch_B.csv,cafe_lunch_B,size_seating_log_cafe_lunch_B.csv,11.12,38.0,9.0,56,85.0,56.84,67.86,5,1.83,11.85,32,340
size_seating_log_family_dinner_A.csv,family_dinner_A,size_seating_log_family_dinner_A.csv,39.86,103.0,33.0,36,70.53,58.84,41.67,10,3.37,53.83,34,426
size_seating_log_family_dinner_B.csv,family_dinner_B,size_seating_log_family_dinner_B.csv,33.5,153.0,12.0,36,69.71,50.48,52.78,10,3.0,113.48,42,402
size_seating_log_fastfood_rush_A.csv,fastfood_rush_A,size_seating_log_fastfood_rush_A.csv,32.54,73.0,39.0,100,91.33,67.24,38.0,19,9.4,30.82,20,346
size_seating_log_fastfood_rush_B.csv,fastfood_rush_B,size_seating_log_fastfood_rush_B.csv,7.02,29.0,3.0,100,76.7,56.45,82.0,10,2.21,3.46,26,317
size_seating_log_kbbq_hotpot_A.csv,kbbq_hotpot_A,size_seating_log_kbbq_hotpot_A.csv,14.97,77.0,4.0,37,75.29,63.32,72.97,5,1.5,51.35,42,370
size_seating_log_kbbq_hotpot_B.csv,kbbq_hotpot_B,size_seating_log_kbbq_hotpot_B.csv,24.51,137.0,12.0,37,79.73,59.92,54.05,7,2.32,87.85,42,391
size_seating_log_sushi_belt_A.csv,sushi_belt_A,size_seating_log_sushi_belt_A.csv,16.52,70.0,12.0,96,75.41,68.03,57.29,15,4.18,21.01,19,379
size_seating_log_sushi_belt_B.csv,sushi_belt_B,size_seating_log_sushi_belt_B.csv,20.57,65.0,10.0,96,83.88,59.83,56.25,19,5.55,19.95,23,356
