group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,43,43,0,1,2,30,73
2,2,48,48,0,2,2,29,77
3,2,49,49,0,3,4,34,83
4,3,53,53,0,4,4,39,92
5,2,55,55,0,5,4,32,87
6,4,58,58,0,6,6,46,104
7,1,60,60,0,7,6,30,90
8,2,63,73,10,1,2,34,107
10,2,69,77,8,2,2,30,107
9,3,65,83,18,3,4,39,122
12,4,71,87,16,5,4,45,132
14,3,77,90,13,7,6,35,125
17,4,85,92,7,4,4,45,137
20,3,93,104,11,6,6,40,144
11,2,69,107,38,1,2,28,135
13,1,76,107,31,2,2,30,137
23,4,101,122,21,3,4,42,164
25,3,108,125,17,7,6,37,162
28,4,114,132,18,5,4,39,171
15,2,81,135,54,1,2,30,165
16,2,83,137,54,2,2,32,169
31,3,124,137,13,4,4,37,174
34,4,128,144,16,6,6,46,190
36,3,135,162,27,7,6,37,199
38,4,141,164,23,3,4,40,204
18,1,90,165,75,1,2,24,189
19,2,91,169,78,2,2,30,199
21,2,95,171,76,5,4,28,199
22,2,100,174,74,4,4,30,204
24,1,104,189,85,1,2,30,219
26,2,109,190,81,6,6,33,223
27,2,112,199,87,2,2,36,235
29,1,117,199,82,5,4,23,222
30,2,119,199,80,7,6,33,232
32,2,126,204,78,3,4,36,240
33,2,126,204,78,4,4,33,237
35,1,130,219,89,1,2,26,245
37,2,135,222,87,5,4,31,253
39,2,143,223,80,6,6,34,257
40,1,146,232,86,7,6,26,258
