group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,5,5,0,5,4,38,43
2,2,12,12,0,1,2,34,46
3,1,19,19,0,2,2,28,47
4,3,34,34,0,6,4,41,75
5,3,41,41,0,7,4,50,91
6,2,44,44,0,3,2,36,80
7,1,47,47,0,1,2,30,77
8,2,50,50,0,2,2,39,89
9,3,55,55,0,5,4,51,106
10,2,60,60,0,4,2,41,101
11,4,60,60,0,8,4,55,115
13,3,65,75,10,6,4,44,119
12,2,60,77,17,1,2,38,115
14,2,71,80,9,3,2,37,117
17,1,80,89,9,2,2,32,121
15,4,76,91,15,7,4,52,143
18,2,85,101,16,4,2,35,136
16,3,80,106,26,5,4,45,151
19,2,103,115,12,1,2,35,150
20,4,105,115,10,8,4,45,160
23,2,115,117,2,3,2,44,161
21,3,108,119,11,6,4,40,159
24,2,119,121,2,2,2,39,160
25,2,120,136,16,4,2,35,171
22,3,114,143,29,7,4,39,182
26,3,124,151,27,5,4,38,189
27,4,130,159,29,6,4,51,210
28,3,145,160,15,8,4,51,211
33,2,170,170,0,1,2,39,209
34,2,174,174,0,2,2,44,218
35,1,177,177,0,3,2,29,206
29,3,147,182,35,7,4,39,221
36,2,184,184,0,4,2,35,219
30,4,160,189,29,5,4,58,247
39,2,194,206,12,3,2,43,249
40,2,210,210,0,1,2,39,249
31,4,167,210,43,6,4,57,267
32,3,170,211,41,8,4,44,255
41,2,214,218,4,2,2,43,261
42,1,215,219,4,4,2,38,257
37,4,185,221,36,7,4,50,271
38,4,194,247,53,5,4,57,304
43,2,217,249,32,1,2,37,286
47,2,249,249,0,3,2,40,289
44,3,234,255,21,8,4,42,297
48,1,255,257,2,4,2,28,285
50,1,260,261,1,2,2,34,295
45,3,235,267,32,6,4,43,310
46,3,235,271,36,7,4,48,319
51,2,275,285,10,4,2,45,330
53,2,280,286,6,1,2,42,328
54,2,285,289,4,3,2,41,330
56,1,295,295,0,2,2,30,325
49,4,260,297,37,8,4,58,355
52,4,279,304,25,5,4,52,356
55,3,287,310,23,6,4,38,348
