group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,5,5,0,3,4,38,43
2,2,12,12,0,1,2,34,46
3,1,19,19,0,2,2,28,47
4,3,34,34,0,4,4,41,75
5,3,41,41,0,5,4,50,91
6,2,44,44,0,3,4,36,80
7,1,47,47,0,1,2,30,77
8,2,50,50,0,2,2,39,89
9,3,55,55,0,6,4,51,106
11,4,60,60,0,7,6,55,115
10,2,60,60,0,8,6,41,101
13,3,65,75,10,4,4,44,119
12,2,60,77,17,1,2,38,115
15,4,76,80,4,3,4,52,132
14,2,71,89,18,2,2,37,126
16,3,80,91,11,5,4,45,136
17,1,80,101,21,8,6,32,133
20,4,105,106,1,6,4,45,151
18,2,85,115,30,1,2,35,150
21,3,108,115,7,7,6,40,155
22,3,114,119,5,4,4,39,158
19,2,103,126,23,2,2,35,161
26,3,124,132,8,3,4,38,170
27,4,130,133,3,8,6,51,184
23,2,115,136,21,5,4,44,180
24,2,119,150,31,1,2,39,189
28,3,145,151,6,6,4,51,202
29,3,147,155,8,7,6,39,194
25,2,120,158,38,4,4,35,193
33,2,170,170,0,2,2,39,209
30,4,160,170,10,3,4,58,228
31,4,167,180,13,5,4,57,237
32,3,170,184,14,8,6,44,228
34,2,174,189,15,1,2,44,233
37,4,185,193,8,4,4,50,243
38,4,194,194,0,7,6,57,251
35,1,177,202,25,6,4,29,231
36,2,184,209,25,2,2,35,244
39,2,194,228,34,3,4,43,271
40,2,210,228,18,8,6,39,267
41,2,214,231,17,6,4,43,274
42,1,215,233,18,1,2,38,271
44,3,234,237,3,5,4,42,279
45,3,235,243,8,4,4,43,286
43,2,217,244,27,2,2,37,281
46,3,235,251,16,7,6,48,299
49,4,260,267,7,8,6,58,325
47,2,249,271,22,1,2,40,311
48,1,255,271,16,3,4,28,299
50,1,260,274,14,6,4,34,308
52,4,279,279,0,5,4,52,331
51,2,275,281,6,2,2,45,326
53,2,280,286,6,4,4,42,328
55,3,287,299,12,3,4,38,337
54,2,285,299,14,7,6,41,340
56,1,295,308,13,6,4,30,338
