group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,37,37
2,2,4,4,0,2,2,60,64
3,1,10,10,0,3,2,34,44
4,3,16,16,0,4,4,43,59
5,4,18,18,0,5,4,64,82
6,4,25,25,0,6,4,51,76
7,2,29,29,0,7,6,27,56
9,1,39,39,0,1,2,46,85
10,2,50,50,0,3,2,59,109
8,4,36,56,20,7,6,58,114
12,3,55,59,4,4,4,40,99
11,2,51,64,13,2,2,42,106
13,1,57,76,19,6,4,39,115
16,3,77,82,5,5,4,50,132
14,2,62,85,23,1,2,47,132
17,3,90,99,9,4,4,54,153
15,1,70,106,36,2,2,29,135
20,2,99,109,10,3,2,39,148
18,4,96,114,18,7,6,58,172
19,4,98,115,17,6,4,54,169
21,2,103,132,29,1,2,54,186
24,4,117,132,15,5,4,54,186
22,1,107,135,28,2,2,39,174
23,2,116,148,32,3,2,43,191
27,3,145,153,8,4,4,60,213
25,1,122,169,47,6,4,37,206
26,2,132,172,40,7,6,46,218
28,2,152,174,22,2,2,36,210
29,2,157,186,29,1,2,63,249
33,4,184,186,2,5,4,30,216
30,2,163,191,28,3,2,54,245
34,3,186,206,20,6,4,60,266
31,1,180,210,30,2,2,38,248
36,3,192,213,21,4,4,45,258
32,1,183,216,33,5,4,42,258
35,2,190,218,28,7,6,48,266
37,2,194,245,51,3,2,41,286
38,2,199,248,49,2,2,51,299
39,2,205,249,44,1,2,49,298
40,1,207,258,51,4,4,33,291
