group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,4,4,0,1,2,33,37
2,3,7,7,0,4,4,52,59
3,2,9,9,0,2,2,52,61
4,4,10,10,0,5,4,51,61
5,4,12,12,0,6,4,61,73
6,2,13,13,0,3,2,51,64
7,6,16,16,0,7,6,67,83
8,2,17,37,20,1,2,56,93
14,3,34,59,25,4,4,31,90
9,1,25,61,36,2,2,52,113
18,3,46,61,15,5,4,64,125
10,2,28,64,36,3,2,36,100
19,4,51,73,22,6,4,72,145
21,5,64,83,19,7,6,88,171
20,4,61,90,29,4,4,52,142
11,1,29,93,64,1,2,34,127
12,2,31,100,69,3,2,59,159
13,1,32,113,81,2,2,27,140
25,3,81,125,44,5,4,57,182
15,1,35,127,92,1,2,26,153
16,2,37,140,103,2,2,43,183
36,3,114,142,28,4,4,61,203
39,3,122,145,23,6,4,59,204
17,1,40,153,113,1,2,21,174
22,2,66,159,93,3,2,79,238
32,5,105,171,66,7,6,49,220
23,1,67,174,107,1,2,33,207
40,3,124,182,58,5,4,62,244
24,2,69,183,114,2,2,43,226
49,3,147,203,56,4,4,46,249
52,3,161,204,43,6,4,43,247
26,2,85,207,122,1,2,56,263
41,6,125,220,95,7,6,76,296
27,2,89,226,137,2,2,37,263
28,1,90,238,148,3,2,36,274
54,3,168,244,76,5,4,40,284
56,4,172,247,75,6,4,54,301
57,4,175,249,74,4,4,54,303
29,2,95,263,168,1,2,60,323
30,2,96,263,167,2,2,38,301
31,1,100,274,174,3,2,27,301
59,4,180,284,104,5,4,68,352
43,5,130,296,166,7,6,78,374
33,1,106,301,195,2,2,53,354
34,1,110,301,191,3,2,47,348
60,4,183,301,118,6,4,52,353
62,3,188,303,115,4,4,48,351
35,2,113,323,210,1,2,67,390
37,2,115,348,233,3,2,28,376
64,3,193,351,158,4,4,50,401
38,2,116,352,236,5,4,43,395
42,1,126,353,227,6,4,56,409
44,1,134,354,220,2,2,53,407
45,2,136,374,238,7,6,33,407
46,2,137,376,239,3,2,49,425
47,2,139,390,251,1,2,37,427
48,2,143,395,252,5,4,69,464
50,1,149,401,252,4,4,35,436
51,2,150,407,257,2,2,34,441
53,2,163,407,244,7,6,21,428
55,2,170,409,239,6,4,57,466
58,2,179,425,246,3,2,53,478
61,2,186,427,241,1,2,43,470
63,2,191,428,237,7,6,29,457
65,2,195,436,241,4,4,32,468
66,2,196,441,245,2,2,54,495
67,1,200,457,257,7,6,49,506
68,1,202,464,262,5,4,60,524
69,2,206,466,260,6,4,44,510
70,2,208,468,260,4,4,47,515
