group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,29,29
2,2,6,6,0,2,2,30,36
3,3,11,11,0,3,4,38,49
4,2,11,11,0,4,4,36,47
5,4,16,16,0,5,6,42,58
6,2,23,23,0,6,8,35,58
7,1,28,28,0,7,8,32,60
10,2,38,38,0,1,2,29,67
8,3,32,47,15,4,4,40,87
9,4,34,49,15,3,4,44,93
12,2,50,50,0,2,2,37,87
11,5,45,58,13,5,6,51,109
13,1,56,58,2,6,8,23,81
14,3,60,60,0,7,8,38,98
16,2,66,67,1,1,2,37,104
17,6,71,81,10,6,8,55,136
19,2,81,87,6,2,2,38,125
15,4,63,87,24,4,4,45,132
18,3,77,93,16,3,4,36,129
20,4,87,98,11,7,8,43,141
21,1,90,104,14,1,2,26,130
24,5,102,109,7,5,6,45,154
22,2,95,125,30,2,2,36,161
23,3,98,129,31,3,4,35,164
25,2,109,130,21,1,2,30,160
26,4,110,132,22,4,4,46,178
27,6,118,136,18,6,8,48,184
30,3,128,141,13,7,8,43,184
33,5,145,154,9,5,6,44,198
28,1,120,160,40,1,2,30,190
29,2,128,161,33,2,2,31,192
31,4,133,164,31,3,4,40,204
35,3,155,178,23,4,4,35,213
41,6,178,184,6,6,8,51,235
36,4,156,184,28,7,8,40,224
32,2,137,190,53,1,2,34,224
34,2,148,192,44,2,2,28,220
43,5,188,198,10,5,6,53,251
39,3,172,204,32,3,4,39,243
40,4,177,213,36,4,4,39,252
37,1,164,220,56,2,2,31,251
38,2,166,224,58,1,2,33,257
49,5,215,224,9,7,8,50,274
44,3,191,235,44,6,8,43,278
46,4,204,243,39,3,4,44,287
42,2,182,251,69,2,2,28,279
48,3,212,251,39,5,6,34,285
50,4,222,252,30,4,4,48,300
45,2,198,257,59,1,2,29,286
47,2,207,274,67,7,8,30,304
