group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,1,2,34,34
2,4,5,5,0,3,4,41,46
3,6,10,10,0,6,6,50,60
4,3,15,15,0,4,4,37,52
5,5,21,21,0,7,6,46,67
6,2,27,27,0,2,2,33,60
7,4,32,32,0,5,4,40,72
9,3,44,46,2,3,4,36,82
11,2,56,56,0,1,2,34,90
8,6,38,60,22,6,6,52,112
12,4,62,62,0,4,4,39,101
10,5,50,67,17,7,6,45,112
14,3,75,75,0,5,4,38,113
16,2,89,89,0,2,2,35,124
17,4,96,96,0,3,4,41,137
13,6,68,112,44,6,6,53,165
15,5,82,112,30,7,6,47,159
18,6,103,159,56,7,6,54,213
